表4-1  科系別學生人數統計(依據103/03/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
102,8,國立中央大學,,,TOTAL,全校班級,11570,7932,3638,2358,1145,2378,1107,1402,625,1230,608,318,83,140,42,98,28,8,0,209,57
102,8,國立中央大學,D,1,SUBT1,學士班           共計,5992,3993,1999,917,534,998,495,996,459,939,478,122,25,21,8,0,0,0,0,143,33
102,8,國立中央大學,D,D,220201,    中國文學系,226,44,182,10,44,13,44,11,41,8,46,2,4,0,3,0,0,0,0,2,7
102,8,國立中央大學,D,D,220310,    英美語文學系,238,50,188,10,50,19,42,13,46,7,44,1,5,0,1,0,0,0,0,1,6
102,8,國立中央大學,D,D,220314,    法國語文學系,205,44,161,13,38,2,48,12,39,16,33,1,3,0,0,0,0,0,0,1,3
102,8,國立中央大學,D,D,460101,    數學系,292,239,53,61,12,61,15,49,16,49,9,17,1,2,0,0,0,0,0,19,1
102,8,國立中央大學,D,D,440301,    物理學系,219,199,20,45,8,55,4,44,4,47,4,7,0,1,0,0,0,0,0,8,0
102,8,國立中央大學,D,D,440101,    化學學系,175,120,55,21,19,37,9,28,15,30,10,2,2,2,0,0,0,0,0,4,2
102,8,國立中央大學,D,D,420103,    生命科學系,167,104,63,30,13,25,16,26,13,18,18,5,3,0,0,0,0,0,0,5,3
102,8,國立中央大學,D,D,520106,    光電科學與工程學系,157,127,30,28,7,31,8,33,8,30,5,5,1,0,1,0,0,0,0,5,2
102,8,國立中央大學,D,D,449999,    理學院學士班,86,71,15,12,6,17,5,23,1,17,2,2,1,0,0,0,0,0,0,2,1
102,8,國立中央大學,D,D,520301,    土木工程學系,420,352,68,75,22,89,11,93,17,78,17,13,1,4,0,0,0,0,0,17,1
102,8,國立中央大學,D,D,520201,    機械工程學系,628,579,49,134,15,143,11,134,12,147,8,15,2,6,1,0,0,0,0,21,3
102,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,226,158,68,36,14,41,16,38,21,41,17,2,0,0,0,0,0,0,0,2,0
102,8,國立中央大學,D,D,340301,    企業管理學系,436,183,253,40,68,39,67,57,50,41,67,6,0,0,1,0,0,0,0,6,1
102,8,國立中央大學,D,D,480109,    資訊管理學系,410,238,172,53,47,54,45,56,43,67,36,7,0,1,1,0,0,0,0,8,1
102,8,國立中央大學,D,D,340501,    財務金融學系,242,100,142,24,30,27,36,25,37,23,39,1,0,0,0,0,0,0,0,1,0
102,8,國立中央大學,D,D,310101,    經濟學系,258,123,135,29,30,30,34,35,34,27,36,2,1,0,0,0,0,0,0,2,1
102,8,國立中央大學,D,D,520101,    電機工程學系,420,374,46,84,13,92,14,95,9,92,10,11,0,0,0,0,0,0,0,11,0
102,8,國立中央大學,D,D,520114,    資訊工程學系,437,355,82,97,15,88,23,86,13,77,31,6,0,1,0,0,0,0,0,7,0
102,8,國立中央大學,D,D,520126,    通訊工程學系,219,173,46,39,15,46,6,42,11,40,14,6,0,0,0,0,0,0,0,6,0
102,8,國立中央大學,D,D,440401,    大氣科學學系,291,210,81,43,28,53,20,56,18,52,14,3,1,3,0,0,0,0,0,6,1
102,8,國立中央大學,D,D,440201,    地球科學學系,223,149,74,32,24,36,21,40,11,32,18,8,0,1,0,0,0,0,0,9,0
102,8,國立中央大學,D,D,311025,    客家語文暨社會科學學系,17,1,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,2,SUBT2,碩士班           共計,3079,2128,951,996,400,917,398,155,84,60,67,0,2,0,0,0,0,0,0,0,2
102,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,25,20,5,9,1,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220201,    中國文學系碩士班,44,17,27,3,9,5,9,5,6,4,3,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220310,    英美語文學系碩士班,43,11,32,3,5,1,7,5,6,2,14,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220314,    法國語文學系碩士班,19,6,13,0,4,4,2,0,2,2,5,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,221101,    哲學研究所碩士班,26,13,13,5,3,4,2,2,4,2,4,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220901,    歷史研究所碩士班,46,30,16,7,4,6,5,7,4,10,3,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,41,6,35,1,7,1,8,4,8,0,12,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,23,2,21,2,9,0,7,0,3,0,2,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,220201,    中國文學系戲曲碩士班,9,3,6,1,1,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,229916,    亞際文化研究國際碩士學位學程,4,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,460101,    數學系碩士班,53,41,12,16,5,19,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440301,    物理學系碩士班,75,60,15,19,5,27,5,10,3,4,2,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440101,    化學學系碩士班,113,70,43,38,21,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,420103,    生命科學系碩士班,61,44,17,24,3,11,10,6,4,3,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,460201,    統計研究所碩士班,47,29,18,13,10,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,112,101,11,52,6,43,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440601,    天文研究所碩士班,14,7,7,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,16,12,4,4,2,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520106,    光電科學與工程學系照明與顯示科技碩士班,24,18,6,7,3,8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,420604,    系統生物與生物資訊研究所碩士班,18,13,5,8,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,310510,    認知神經科學研究所碩士班,16,5,11,2,2,3,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520301,    土木工程學系碩士班,209,171,38,76,18,72,19,18,0,5,1,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520201,    機械工程學系碩士班,210,197,13,97,6,88,7,9,0,3,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,127,92,35,48,15,41,19,2,1,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,27,18,9,10,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,60,32,28,11,16,11,9,9,3,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,43,38,5,19,2,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,40,36,4,18,1,17,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,39,28,11,16,5,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,521108,    生物醫學工程研究所碩士班,29,22,7,9,5,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,520527,    應用材料科學國際研究生碩士學位學程,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,340301,    企業管理學系碩士班,136,65,71,29,40,32,26,3,5,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,113,66,47,34,21,30,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0
102,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,58,29,29,11,14,13,11,1,4,4,0,0,0,0,0,0,0,0,0,0,0
