表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,BCODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
97,0008,國立中央大學,D,M,520502,材料科學與工程研究所碩士班,33,28,5,13,2,13,3,1,,1,,,,,,,,,
97,0008,國立中央大學,D,M,521108,生物醫學工程研究所碩士班,16,14,2,6,2,8,,,,,,,,,,,,,
97,0008,國立中央大學,D,M,340301,企業管理學系碩士班,125,69,56,37,24,31,29,,2,1,1,,,,,,,,
97,0008,國立中央大學,D,M,480109,資訊管理學系碩士班,109,78,31,33,15,40,15,4,1,1,,,,,,,,,
97,0008,國立中央大學,D,M,310104,產業經濟研究所碩士班,59,29,30,12,13,10,12,4,3,3,2,,,,,,,,
97,0008,國立中央大學,D,M,349906,工業管理研究所碩士班,61,38,23,21,10,16,13,1,,,,,,,,,,,
97,0008,國立中央大學,D,M,349919,人力資源管理研究所碩士班,58,9,49,4,23,5,21,,5,,,,,,,,,,
97,0008,國立中央大學,D,M,340501,財務金融學系碩士班,66,45,21,16,12,27,9,1,,1,,,,,,,,,
97,0008,國立中央大學,D,M,310101,經濟學系碩士班,30,16,14,7,8,8,5,1,,,1,,,,,,,,
97,0008,國立中央大學,D,M,340201,會計研究所碩士班,8,5,3,5,3,,,,,,,,,,,,,,
