表4-1  科系別學生人數統計(依據104/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
104,8,國立中央大學,,,TOTAL,全校班級,11962,7991,3971,2428,1296,2314,1156,1466,730,1240,614,318,97,111,45,106,33,8,0,240,67
104,8,國立中央大學,D,1,SUBT1,學士班           共計,6117,3976,2141,965,530,961,539,906,531,962,488,163,47,19,6,0,0,0,0,182,53
104,8,國立中央大學,D,D,220201,    中國文學系,225,44,181,11,40,6,42,11,41,13,45,3,10,0,3,0,0,0,0,3,13
104,8,國立中央大學,D,D,220310,    英美語文學系,235,51,184,10,43,12,47,10,46,18,38,1,10,0,0,0,0,0,0,1,10
104,8,國立中央大學,D,D,220314,    法國語文學系,211,38,173,8,41,15,38,12,39,2,47,1,8,0,0,0,0,0,0,1,8
104,8,國立中央大學,D,D,460101,    數學系,316,258,58,62,19,66,13,52,10,58,15,18,1,2,0,0,0,0,0,20,1
104,8,國立中央大學,D,D,440301,    物理學系,232,208,24,45,7,48,5,46,7,48,4,18,1,3,0,0,0,0,0,21,1
104,8,國立中央大學,D,D,440101,    化學學系,169,121,48,31,10,30,10,22,19,34,9,4,0,0,0,0,0,0,0,4,0
104,8,國立中央大學,D,D,520106,    光電科學與工程學系,167,131,36,31,11,38,9,29,7,28,8,5,1,0,0,0,0,0,0,5,1
104,8,國立中央大學,D,D,449999,    理學院學士班,77,53,24,11,7,11,7,10,6,20,4,1,0,0,0,0,0,0,0,1,0
104,8,國立中央大學,D,D,520301,    土木工程學系,414,342,72,80,18,89,13,70,27,93,12,7,1,3,1,0,0,0,0,10,2
104,8,國立中央大學,D,D,520201,    機械工程學系,631,566,65,137,17,138,21,130,14,129,11,30,2,2,0,0,0,0,0,32,2
104,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,217,150,67,31,16,38,18,39,14,38,18,4,1,0,0,0,0,0,0,4,1
104,8,國立中央大學,D,D,340301,    企業管理學系,440,171,269,47,60,39,70,37,67,38,67,8,5,2,0,0,0,0,0,10,5
104,8,國立中央大學,D,D,480109,    資訊管理學系,405,223,182,61,45,56,45,52,46,51,45,2,1,1,0,0,0,0,0,3,1
104,8,國立中央大學,D,D,340501,    財務金融學系,263,110,153,28,38,23,43,26,33,27,36,6,2,0,1,0,0,0,0,6,3
104,8,國立中央大學,D,D,310101,    經濟學系,262,127,135,30,28,21,39,34,34,37,34,5,0,0,0,0,0,0,0,5,0
104,8,國立中央大學,D,D,520101,    電機工程學系,411,349,62,78,18,91,18,82,12,89,13,9,1,0,0,0,0,0,0,9,1
104,8,國立中央大學,D,D,520114,    資訊工程學系,456,374,82,91,18,87,26,99,15,87,22,9,0,1,1,0,0,0,0,10,1
104,8,國立中央大學,D,D,520126,    通訊工程學系,218,171,47,39,13,39,14,36,14,46,6,11,0,0,0,0,0,0,0,11,0
104,8,國立中央大學,D,D,440401,    大氣科學學系,301,221,80,56,17,56,14,50,26,51,20,7,3,1,0,0,0,0,0,8,3
104,8,國立中央大學,D,D,440201,    地球科學學系,219,138,81,36,25,33,15,30,22,30,19,5,0,4,0,0,0,0,0,9,0
104,8,國立中央大學,D,D,311025,    客家語文暨社會科學學系,54,13,41,9,11,3,12,1,18,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,D,420103,    生命科學系,176,106,70,22,21,22,20,28,14,25,15,9,0,0,0,0,0,0,0,9,0
104,8,國立中央大學,D,D,521116,    生醫科學與工程學系,18,11,7,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,2,SUBT2,碩士班           共計,3393,2318,1075,1007,479,914,407,317,114,79,74,1,1,0,0,0,0,0,0,1,1
104,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,17,11,6,5,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,220201,    中國文學系碩士班,64,21,43,3,16,7,8,6,9,5,10,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,220310,    英美語文學系碩士班,33,8,25,2,5,1,2,3,5,2,13,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,220314,    法國語文學系碩士班,19,6,13,2,5,1,4,0,3,3,1,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,221101,    哲學研究所碩士班,18,11,7,2,1,2,0,3,2,4,4,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,220901,    歷史研究所碩士班,58,32,26,7,4,6,11,7,4,11,7,1,0,0,0,0,0,0,0,1,0
104,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,40,7,33,2,7,3,9,1,7,1,10,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,26,4,22,1,9,1,2,2,6,0,4,0,1,0,0,0,0,0,0,0,1
104,8,國立中央大學,D,M,229916,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),8,5,3,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,460101,    數學系碩士班,67,51,16,21,12,19,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,440301,    物理學系碩士班,95,85,10,41,5,23,4,13,0,8,1,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,440101,    化學學系碩士班,137,81,56,36,30,36,23,9,2,0,1,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,460201,    統計研究所碩士班,35,23,12,15,6,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,137,115,22,50,11,43,10,22,1,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,440601,    天文研究所碩士班,24,16,8,7,2,5,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,21,18,3,3,1,8,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520106,    光電科學與工程學系照明與顯示科技碩士班,30,23,7,10,1,9,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520301,    土木工程學系碩士班,218,167,51,71,26,71,18,21,6,4,1,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520201,    機械工程學系碩士班,242,219,23,100,9,83,11,32,2,4,1,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,141,98,43,49,21,44,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,29,23,6,12,4,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,71,41,30,17,13,17,10,6,7,1,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,63,51,12,24,5,21,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,53,45,8,19,5,15,3,9,0,2,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,43,35,8,16,5,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,520527,    應用材料科學國際研究生碩士學位學程,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,340301,    企業管理學系碩士班,138,60,78,30,30,26,37,3,11,1,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,107,69,38,34,21,34,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,63,32,31,14,16,10,11,7,3,1,1,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,349906,    工業管理研究所碩士班,68,45,23,19,13,23,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,349919,    人力資源管理研究所碩士班,65,15,50,10,21,4,25,1,4,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,340501,    財務金融學系碩士班,57,31,26,13,14,15,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0
104,8,國立中央大學,D,M,310101,    經濟學系碩士班,26,18,8,10,6,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
