班級數統計1101(依據110/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
學年度,學校代號,學校名稱,日夜別,等級別,科系代號,科系名稱,班級數計,一年級,二年級,三年級,四年級,五年級,六年級,七年級
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,C1,C2,C3,C4,C5,C6,C7
110,8,國立中央大學,,,TOTAL,全校班級,695,150,149,142,131,55,34,34
110,8,國立中央大學,D,,SUBT1,學士班           共計,142,36,37,35,34,0,0,0
110,8,國立中央大學,D,B,1146,    中國文學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1150,    英美語文學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1152,    法國語文學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,15182,    文學院學士班,2,1,1,0,0,0,0,0
110,8,國立中央大學,D,B,1162,    數學系,8,2,2,2,2,0,0,0
110,8,國立中央大學,D,B,1165,    物理學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1168,    化學學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,5470,    光電科學與工程學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,7077,    理學院學士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1186,    土木工程學系,8,2,2,2,2,0,0,0
110,8,國立中央大學,D,B,1190,    機械工程學系,12,3,3,3,3,0,0,0
110,8,國立中央大學,D,B,1183,    化學工程與材料工程學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,14515,    工學院學士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1205,    企業管理學系,8,2,2,2,2,0,0,0
110,8,國立中央大學,D,B,1209,    資訊管理學系,8,2,2,2,2,0,0,0
110,8,國立中央大學,D,B,1216,    財務金融學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1213,    經濟學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1229,    電機工程學系,8,2,2,2,2,0,0,0
110,8,國立中央大學,D,B,1233,    資訊工程學系,8,2,2,2,2,0,0,0
110,8,國立中央大學,D,B,1237,    通訊工程學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,14516,    資訊電機學院學士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1243,    大氣科學學系,7,1,2,2,2,0,0,0
110,8,國立中央大學,D,B,1246,    地球科學學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,14765,    地球科學學院學士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,B,15188,    太空科學與工程學系,2,1,1,0,0,0,0,0
110,8,國立中央大學,D,B,9250,    客家語文暨社會科學學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,1177,    生命科學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,B,10236,    生醫科學與工程學系,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,,SUBT2,碩士班           共計,194,51,52,49,42,0,0,0
110,8,國立中央大學,D,M,7073,    遙測科技碩士學位學程,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1148,    中國文學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1151,    英美語文學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1153,    法國語文學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1155,    哲學研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1157,    歷史研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1159,    藝術學研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1160,    學習與教學研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9253,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1164,    數學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1167,    物理學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1170,    化學學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1176,    統計研究所碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,1174,    光電科學與工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1172,    天文研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9931,    物理學系生物物理碩士班,2,0,0,1,1,0,0,0
110,8,國立中央大學,D,M,9935,    光電科學與工程學系照明與顯示科技碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1188,    土木工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1192,    機械工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1185,    化學工程與材料工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1195,    環境工程研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9932,    機械工程學系光機電工程碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1203,    能源工程研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1200,    材料科學與工程研究所碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,14766,    國際永續發展碩士學位學程,1,0,1,0,0,0,0,0
110,8,國立中央大學,D,M,14902,    土木工程學系營建管理碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,1207,    企業管理學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1211,    資訊管理學系碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,1221,    產業經濟研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1227,    工業管理研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1224,    人力資源管理研究所碩士班,3,1,1,0,1,0,0,0
110,8,國立中央大學,D,M,1218,    財務金融學系碩士班,3,1,1,0,1,0,0,0
110,8,國立中央大學,D,M,1215,    經濟學系碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,5478,    會計研究所碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,1231,    電機工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1235,    資訊工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1239,    通訊工程學系碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,1241,    網路學習科技研究所碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9934,    資訊工程學系軟體工程碩士班,3,1,1,1,0,0,0,0
110,8,國立中央大學,D,M,14701,    資訊工程學系AI碩士班,2,1,1,0,0,0,0,0
110,8,國立中央大學,D,M,9641,    大氣科學學系大氣物理碩士班,4,1,1,1,1,0,0,0
110,8,國立中央大學,D,M,9643,    地球科學學系地球物理碩士班,4,1,1,1,1,0,0,0
