104學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,綠色企業管理,性別教育,科技與社會,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,系(所)總合
中國文學系,,2,,,,,,1,,,,,,,,,,,,,,,,,,,3
英美語文學系,,,,1,,,,,,,,,,,,2,,,,,,,,,,,3
法國語文學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
數學系,,4,,,,,,,,,,,,,,,,,,,,1,,,,,5
物理學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
化學學系,,,,,,,,,,,,,,,,,,,,2,2,,,,,,4
統計研究所碩士班,,,,,,,,,,,9,,,,,,,,,,,,,,,,9
土木工程學系,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
機械工程學系,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
企業管理學系,,5,4,12,,,,,,,,,,1,,,,,,,,,,2,,,24
資訊管理學系,,1,1,11,,,,,,,,,3,7,,,,,,,2,,,,,,25
財務金融學系,,,1,2,,,,,,,,,,,,,,,,,1,,,1,,,5
經濟學系,,5,3,,,,,,,,,,,2,,,,,,,,,,1,,,11
企業管理學系碩士班,,,,3,,,,,,,,1,,,,,,,,,,,,,,,4
工業管理研究所碩士班,,,,2,,,,,,,,10,,,,,,,,,,,,,,,12
財務金融學系碩士班,,,,,,,,,,,5,,,,,,,,,,,,,,,,5
電機工程學系,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
通訊工程學系,,,,,,,,,,,,,,,,,,,,,3,,,,,,3
大氣科學學系,,,,,,4,7,,,,,,,,,,,,,,,,10,,,,21
地球科學學系,,,,,,13,9,,,,,,,,,,,,,,,,2,,,,24
客家語文暨社會科學學系,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,4
法律與政府研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
總合,,18,12,31,,17,16,1,,,14,11,5,10,,2,1,1,,2,11,1,12,4,,,169
