1052「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,企業管理,財務金融,會計,資訊管理(103二退場),企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,綠色企業管理,科技與社會(105二退場),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,系(所)總合
中國文學系,1,4,3,,1,,,,3,,,,,,5,,11,1,,,3,,,,,,,,32
英美語文學系,15,20,9,,,,,,6,,,,,,3,,5,1,,,3,,,,,,,,62
法國語文學系,7,11,1,,,,,,14,,,,,,1,,2,,,,1,,,,,,,,37
英美語文學系碩士班,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
學習與教學研究所碩士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
亞際文化研究國際碩士學位學程(台灣聯合大學系統),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
哲學研究所博士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
數學系,,8,4,,,,,,,,,,,,,,,,,,,12,,,,,,,24
物理學系,,1,,,,,,,,,6,,,1,,,,1,,,,,,,,,,,9
化學學系,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
光電科學與工程學系,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,2
理學院學士班,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,2
數學系碩士班,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,9,,,,,,,,,,,,,,3,,,12
光電科學與工程學系碩士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
土木工程學系,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,2
機械工程學系,,,2,,,,,,,,,,,1,,,,,,,1,,,,,,,,4
化學工程與材料工程學系,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,2
機械工程學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
營建管理研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,19,31,,42,,,,,,,,,1,18,,,,,,2,1,,8,,,,,122
資訊管理學系,,4,8,,31,1,,,,,,,,3,21,1,,,,,30,,,6,1,,,,106
財務金融學系,,,34,,9,,,,,,,,,,3,,,,,,1,,,4,,,,,51
經濟學系,,16,19,1,11,,,,2,,,,,3,6,,,,,,5,2,,6,,,,,71
企業管理學系碩士班,,,,,50,,,,,,,,6,,,,,,3,,,,,3,,,,,62
產業經濟研究所碩士班,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,4
工業管理研究所碩士班,,,,,17,,,,,,,,2,,,,,,,,,,,,,,,,19
財務金融學系碩士班,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,11
會計研究所碩士班,,,,,30,,,,,,,,,,,,,,,,,,,5,,,,,35
工業管理研究所碩士在職專班,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10
企業管理學系博士班,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,2
資訊管理學系博士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,1,2,,,,,,,,,,,,1,,,,,,,9,,,,,,,,13
資訊工程學系,,2,,,,,,,,,,,,,,,,,,,2,,2,,,,,,6
通訊工程學系,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11
大氣科學學系,,1,,,,,47,35,2,,1,,,,1,,,,,2,,,84,,,,,,173
地球科學學系,,,,,,,37,34,,,,,,,,,,1,,,,,7,,,,,,79
客家語文暨社會科學學系,,4,,,,,,,,,,,,2,,,,,1,,1,,1,,,,,,9
法律與政府研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
客家語文暨社會科學學系客家政治經濟碩士班,,,1,,3,,,,,,,,,,,,,,,,,,,1,,,,,5
生命科學系,,2,,,,,,,1,,,,,,,,,,,,,,1,,,,,,4
總合,24,94,114,1,208,1,84,69,30,2,7,21,8,14,59,1,22,6,4,4,71,15,96,36,1,3,,,995
