1101「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,系(所)總合
中國文學系,4,,4,1,,,9,,,,,3,1,8,1,,1,,,2,,,,3,,4,,4,,4,,,,,,49
英美語文學系,5,7,3,1,,,4,,,,,,9,2,,,2,,,,,,,,,,,,,3,,,,3,,39
法國語文學系,2,12,3,2,,,6,,,,,,2,7,,,,,,,,,,3,,1,,6,,3,,,,,,47
文學院學士班,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,4
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
數學系,,6,3,,,,,,,,,1,,,,,,1,,,,,,1,6,,,,8,,,,1,,,27
物理學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2
化學學系,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,3
光電科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
理學院學士班,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,4
統計研究所碩士班,,,,,,,,,,4,,,,,,,,,,,,11,,,,,,,,,,,,,,15
土木工程學系,,3,1,,,,1,,,,,,,,,,2,,,,,,,3,,,1,,49,,,,,,,60
機械工程學系,1,2,,,,,,,,,,,,,,,1,,,,,,,1,2,,2,,32,,,,,,,41
化學工程與材料工程學系,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,3
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,40
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,3
企業管理學系,,15,36,78,,,1,,,,,,38,,,,3,,,11,,,,,1,3,,7,,23,,,1,,8,225
資訊管理學系,,6,7,17,,,,,,,,,7,,,,1,,,8,,,,1,3,1,,,,7,,1,4,,,63
財務金融學系,1,2,37,2,,,,,,,,,2,,,,1,,,3,,,,1,,,,,,9,,,2,,,60
經濟學系,3,11,17,3,,,,,,2,,,4,,,,1,,,6,,,,,,,,,,1,,,,,,48
企業管理學系碩士班,,,,48,,,,,,,5,,,,,1,,,,25,,,,,,,,,,,,,,,,79
資訊管理學系碩士班,,,,9,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,16
產業經濟研究所碩士班,,2,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,6
工業管理研究所碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,7
經濟學系碩士班,,,,11,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,23
會計研究所碩士班,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
工業管理研究所碩士在職專班,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
電機工程學系,,,,,,1,,,,,,,,,,,3,,,1,,,,3,1,,1,,8,,,,,,,18
資訊工程學系,,5,1,,1,,,,,,,,1,,,,1,,,,,,,3,6,,,,4,,,,1,,,23
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,1,,,,,6
資訊電機學院學士班,,,,,,,,,,,,,,,,,89,,,,,,,,1,,,,2,,,,,,,92
大氣科學學系,1,1,,1,27,21,,,6,,,,1,,,,2,,20,,,,,,,,7,,15,,,,,,,102
地球科學學系,,,,,26,3,,,2,,,,,,,,,,9,,,,,1,,,,,3,,,,,,,44
地球科學學院學士班,,,,,1,,,,,,,,,,,,,,1,,,,,5,,,1,,4,,,,,,,12
太空科學與工程學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,6,,,,,,,8
客家語文暨社會科學學系,1,,,,,,1,,,,,,,1,,,,,,,,,2,2,,1,,1,,10,,1,,,1,21
客家語文暨社會科學學系客家政治經濟碩士班,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
生命科學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,10
生醫科學與工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,19
總合,19,73,112,200,55,26,22,,9,10,5,4,65,19,1,1,111,1,30,83,,11,2,68,21,10,13,19,169,62,1,4,9,3,10,1248
