1012「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,積體電路設計(99一退場),地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,RFID物流與供應鏈(1011退場),世界文明史,電影與視覺文化(101二退場),太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計學,系(所)總合
中國文學系,4,,2,,,,,,,,11,,,,,7,,,24,,3,,,,2,,1,,54
英美語文學系,13,,,1,,2,,,,,2,,,,,2,3,,4,,1,,,,1,,2,,31
法國語文學系,10,1,1,,,,,,,,11,,,,,1,2,,3,,,,,,,,2,,31
英美語文學系碩士班,,,,,,,,,,,,9,,,,,,,,,,1,,,,,,,10
法國語文學系碩士班,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,3
藝術學研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
學習與教學研究所博士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
數學系,1,1,,1,,,,,,,,,,,,2,,,,,,,,,,,1,,6
物理學系,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
生命科學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
光電科學與工程學系,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5
統計研究所博士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
土木工程學系,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,4
機械工程學系,1,,,,,5,,,,,,,,,,5,,1,,,,,2,,,,,,14
化學工程與材料工程學系,,,,,,,,,,,,,,,,1,,,,,,,1,,,,5,,7
土木工程學系博士班,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2
機械工程學系博士班,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
企業管理學系,,6,16,2,,91,,1,,,6,,,,,2,13,,4,6,1,,,1,,2,4,,155
資訊管理學系,,2,5,,,139,,,,,1,,,,,3,54,4,1,,,,,,,,47,,256
財務金融學系,,,70,3,,33,,,,,1,,,,,,4,,1,1,,,,,,,1,,114
經濟學系,,,10,,,9,,,,,2,,,,,1,1,,,,1,,,1,,1,2,,28
企業管理學系碩士班,,,,,,57,,,,,,,,,6,,,,,,,,,,,,,,63
工業管理研究所碩士班,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,16
財務金融學系碩士班,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,7
會計研究所碩士班,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,25
工業管理研究所碩士在職專班,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,52
資訊管理學系博士班,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
工業管理研究所博士班,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,1,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,7
資訊工程學系,,,,,,1,,,,,,,1,,,,3,,,,,,,,,,8,,13
通訊工程學系,2,,,1,,3,,,,,,,,,,,,1,,,,,,,,,22,,29
資訊工程學系碩士班,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,3
網路學習科技研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
資訊工程學系博士班,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
大氣科學學系,,1,,1,,,,,41,80,,,8,,,1,,,,,,,,,,,1,,133
地球科學學系,,,,,,,,,54,27,,,1,,,,,,,,,,,,,,,,82
客家語文研究所碩士班,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
客家政治經濟研究所碩士班,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
總合,33,12,105,9,,439,3,1,95,107,35,10,11,12,6,28,81,6,44,7,6,1,4,3,3,3,101,,1165
