1121「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史(110一退場),文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候與環境變遷(原氣候變遷調適),商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,量子技術,智慧製造,影響力衡量與管理,生科職涯,菁英領導 elite,法律與政治,系(所)總合
中國文學系,5,1,2,,,,2,,,,,1,,5,1,,1,,,1,1,,1,3,,4,,2,,13,,,,,1,,,2,1,,1,48
英美語文學系,5,1,2,,,,,,,,,,1,2,,,2,,,1,1,,1,,,1,,5,,11,,,,2,2,,,1,1,,,39
法國語文學系,4,5,,2,,,,,,,,,,12,,1,1,,,,,,1,3,,2,,9,,10,,,,,1,,,1,,,,52
文學院學士班,1,1,,,,1,,,,,,,,,,,1,,1,,1,,1,,,,,2,,3,,,,,1,,,1,,,,14
法國語文學系碩士班,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
中國文學系博士班,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2
數學系,1,3,2,,,,,,,,,,,,,,4,3,,,,,1,1,1,,,1,6,,,,2,,1,1,,1,,,,28
物理學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,7
化學學系,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3
光電科學與工程學系,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,6
理學院學士班,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,4
統計研究所碩士班,,,,,,,,,,12,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,13
土木工程學系,,2,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,58,,,,,,,,,,,,,63
機械工程學系,,2,1,,,,,,,,,,,,,,2,,,,,,,,1,,3,,129,,2,1,,,,,3,,,,,144
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,7
工學院學士班,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,2,,,,,,,,1,,,,,84
土木工程學系碩士班,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
企業管理學系,,16,9,48,,,,,,1,,,8,,,,,,,11,,,4,1,1,2,,4,,23,,,5,,7,,,5,,,2,147
資訊管理學系,,6,6,13,,,,,,,,,6,,,,5,,,11,,,2,,20,3,,1,,67,,,10,1,2,,,2,,,,155
財務金融學系,1,1,37,12,1,,,,,,,,,,1,,3,4,,21,,,,1,1,3,,,,30,,,26,1,1,,,,,,,144
經濟學系,2,11,21,2,,,,,,,,,,,,,,1,,5,,,1,1,,2,,,,6,,,3,,1,,,1,,,1,58
企業管理學系碩士班,,,1,62,,,,,,,,,1,,,,,,,42,,,1,,1,,,,,,,,,,1,,,1,,,,110
資訊管理學系碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
產業經濟研究所碩士班,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
工業管理研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
經濟學系碩士班,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
會計研究所碩士班,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
國際經營管理碩士學位學程,,,,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,,,7
工業管理研究所碩士在職專班,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
電機工程學系,,,,,,1,,,,,,,,,,,1,,,,,,,1,1,,1,1,23,,,,2,,,,1,,,,,32
資訊工程學系,1,2,,,2,,,,,,,1,1,,,,,,,,,,,1,4,1,1,,41,1,,,3,,,,,,,,,59
通訊工程學系,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,10,,1,,,2,,,,,,,,16
資訊電機學院學士班,,,,,,,,,,,,,,,,,99,,,,,,,,,,2,,2,,,,,,,,1,,,,1,105
大氣科學學系,1,,,,17,9,,,,,,,,1,,,,,36,,,,,,,,,,20,,,,,,,,,,1,,,85
地球科學學系,,1,,,48,5,,,1,,,,,,,,,,13,,,,,,,,,,4,,,,1,,,,,,,,,73
地球科學學院學士班,,,,,1,3,,,,,,,,,,,,,3,,,,,5,,,,,11,,,,,,,,,,,,,23
太空科學與工程學系,,,,,,,,,1,,,,,,,,2,,,,,,,,,,7,1,9,,,,,,,,,,,,,20
客家語文暨社會科學學系,,2,,,,,,,,,,,1,1,,,,,,,,,2,1,,2,,1,,23,,,,1,2,,,2,,,3,41
生命科學系,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,21,,,,,,,,,,12,,,37
生醫科學與工程學系,,1,,,,,,,,,,,,,,,1,,,,,,1,,2,,1,,27,,,1,,,1,,,1,,,,36
認知神經科學研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
總合,21,60,84,166,70,19,3,,3,13,,2,18,22,2,1,124,9,53,95,3,1,17,99,34,22,17,28,381,188,3,2,53,7,22,2,6,19,15,,8,1692
