表4－1  學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
學校名稱：0008 中央大學             ,,,,  中華民國        九十五        學年度,,,,,,,,,,,,,,,,
學年報：根據04月19日資料統計,,,,,,,,,,,,,,,,,,,單位：人,
院   系（科）所   別,,共                      計,,,一  年  級,,二  年  級,,三  年  級,,四  年  級,,五  年  級,,六  年  級,,七  年  級,,延  修  生,
,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
博士班小計,,1312,1056,256,223,54,214,54,193,59,164,32,119,37,88,16,55,4,,
文學院,,87,34,53,11,9,4,10,6,12,4,8,4,9,2,5,3,,,
    中國文學系博士班,  ,50,16,34,5,5,2,7,4,8,1,6,3,4,,4,1,,,
    哲學研究所博士班,  ,37,18,19,6,4,2,3,2,4,3,2,1,5,2,1,2,,,
理學院,,213,182,31,56,5,29,8,33,9,33,3,14,4,12,,5,2,,
    數學系博士班,  ,23,19,4,5,,4,2,3,,3,,1,1,1,,2,1,,
    物理學系博士班,  ,36,34,2,8,1,6,,8,1,7,,2,,3,,,,,
    化學學系博士班,  ,26,22,4,5,,2,,8,2,4,,1,2,2,,,,,
    生命科學系博士班,  ,10,8,2,7,,1,2,,,,,,,,,,,,
    統計研究所博士班,  ,20,16,4,2,,2,3,2,1,4,,2,,3,,1,,,
    光電科學研究所博士班,  ,72,65,7,21,2,12,1,12,2,12,1,5,,1,,2,1,,
    物理與天文研究所博士班,  ,0,0,0,,,,,,,,,,,,,,,,
    天文研究所博士班,  ,22,14,8,4,2,2,,,3,3,2,3,1,2,,,,,
    生物資訊與系統生物研究所博士班,  ,4,4,0,4,,,,,,,,,,,,,,,
工學院,,373,356,17,67,6,78,3,67,2,49,3,48,1,25,2,22,,,
    化學工程學系博士班,  ,0,0,0,,,,,,,,,,,,,,,,
    土木工程學系博士班,  ,106,103,3,19,3,21,,14,,17,,16,,12,,4,,,
    機械工程學系博士班,  ,184,181,3,39,,42,1,40,1,23,,18,1,9,,10,,,
    化學工程與材料工程學系博士班,  ,55,50,5,5,,9,2,12,1,6,2,10,,1,,7,,,
    營建管理研究所博士班,  ,4,4,0,4,,,,,,,,,,,,,,,
    環境工程研究所博士班,  ,24,18,6,,3,6,,1,,3,1,4,,3,2,1,,,
管理學院,,256,143,113,32,24,35,22,33,29,14,15,13,18,12,4,4,1,,
    企業管理學系博士班,  ,98,56,42,13,9,12,12,16,6,5,6,5,8,4,,1,1,,
    資訊管理學系博士班,  ,68,46,22,11,5,11,2,8,8,5,3,4,3,5,1,2,,,
    產業經濟研究所博士班,  ,33,12,21,2,2,2,3,4,7,2,1,1,5,1,3,,,,
    財務管理學系博士班,  ,0,0,0,,,,,,,,,,,,,,,,
    工業管理研究所博士班,  ,13,10,3,2,1,3,,2,1,2,1,1,,,,,,,
    人力資源管理研究所博士班,  ,13,0,13,,4,,2,,3,,2,,2,,,,,,
    財務金融學系博士班,  ,24,15,9,2,2,5,1,3,4,,2,2,,2,,1,,,
    經濟學系博士班,  ,7,4,3,2,1,2,2,,,,,,,,,,,,
資訊電機學院,,279,262,17,44,4,53,6,41,2,48,1,28,1,30,2,18,1,,
    電機工程學系博士班,  ,137,130,7,23,2,25,3,21,2,24,,13,,15,,9,,,
    資訊工程學系博士班,  ,116,110,6,12,,22,2,16,,21,,15,1,15,2,9,1,,
    通訊工程學系博士班,  ,21,19,2,6,,6,1,4,,3,1,,,,,,,,
    網路學習科技研究所博士班,  ,5,3,2,3,2,,,,,,,,,,,,,,
地球科學學院,,104,79,25,13,6,15,5,13,5,16,2,12,4,7,3,3,,,
    大氣物理研究所博士班,  ,20,13,7,1,2,4,1,3,1,3,1,1,1,1,1,,,,
    地球物理研究所博士班,  ,44,36,8,5,3,7,,7,2,6,,6,2,3,1,2,,,
    太空科學研究所博士班,  ,38,30,8,7,,4,3,3,2,7,1,5,1,3,1,1,,,
    應用地質研究所博士班,  ,2,0,2,,1,,1,,,,,,,,,,,,
    水文科學研究所博士班,  ,0,0,0,,,,,,,,,,,,,,,,
客家學院,,0,0,0,,,,,,,,,,,,,,,,
