107學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,系(所)總合
中國文學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
英美語文學系,3,2,1,2,,,1,,,,,,,,,,,,,1,,,,,,,,10
法國語文學系,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,4
數學系,,1,1,,,,,,,,,,,,,,,4,,,,,,,,,,6
物理學系,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
數學系碩士班,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
統計研究所碩士班,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,3
土木工程學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
機械工程學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
企業管理學系,,2,15,18,,,,,,,,,9,,,,,,,3,,,1,,,,,48
資訊管理學系,,,,4,,,,,,,,,11,,,,6,,,,,,,,,,,21
財務金融學系,,,13,,,,,,,,,,,,,,,,,1,,,,,,,,14
經濟學系,,1,6,4,,,,,,,,,,,,,,,,2,,,,,,,,13
企業管理學系碩士班,,,,13,,,,,,,,,,,,,,,,1,,,,,,,,14
會計研究所碩士班,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12
資訊工程學系,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,2
大氣科學學系,,,,,16,18,,,,,,,,,,,,,32,,,,,,,,,66
地球科學學系,,,,,29,10,,,,,,,,,,,,,,,,,,,,,,39
法律與政府研究所碩士班,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
總合,4,8,37,53,45,28,3,,3,1,,1,21,,,,6,4,32,8,,5,1,,,,,260
