1092「學分學程(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,企業管理,財務金融,會計,企業資源規劃,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),華語文教學,世界文明史,永續企業管理(原綠色企業管理),創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,人工智慧與資訊安全,敘事與數位實踐,太空科技與工程,國際事務,人工智慧跨域應用(理),人工智慧跨域應用(文),積體電路與半導體國際,人工智慧國際,金融科技,跨領域榮譽學分學程,社會企業與社會創新,系(所)總合
財務金融學系碩士班,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,9
經濟學系碩士班,,,,11,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,26
會計研究所碩士班,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
工業管理研究所碩士在職專班,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
電機工程學系,,,,,,,,,1,,,,,,,,4,,,1,,,,3,1,,,,6,,,,,,,16
資訊工程學系,,5,1,,,,,,,,,,,,,,1,,,,,,,1,3,,,,6,,,,,,,17
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2
資訊電機學院學士班,,,,,,,,,,,,,,,,,64,,,,,,,,1,,,,2,,,,,,,67
大氣科學學系,1,1,,1,44,25,1,,9,,,,1,,,,2,,46,,,,,3,,,21,,15,,,,,,,170
地球科學學系,,,,,29,9,,,1,,,,,,,,,,14,,,,,3,,,,,2,,,,,,,58
地球科學學院學士班,,,,,,,,,,,,,,,,,,,1,,,,,5,,,1,,5,,,,,,,12
太空科學與工程學系,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,6,,,,,,,8
客家語文暨社會科學學系,1,,,,,,1,,,,,,,2,1,,,,,,,,3,3,,1,,1,,11,,1,,,1,26
客家語文暨社會科學學系客家政治經濟碩士班,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
生命科學系,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,12,,,,,,,14
生醫科學與工程學系,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,25
總合,25,95,152,254,73,35,34,,12,14,5,3,93,29,2,1,87,7,62,78,,13,3,80,19,7,27,15,170,59,,3,8,1,10,1476
