表4-1  科系別學生人數統計(依據104/03/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
103,8,國立中央大學,,,TOTAL,全校班級,11461,7778,3683,2404,1184,2251,1105,1376,685,1220,559,287,90,120,30,113,30,7,0,207,54
103,8,國立中央大學,D,1,SUBT1,學士班           共計,5961,3919,2042,949,533,903,533,973,498,970,448,105,27,19,3,0,0,0,0,124,30
103,8,國立中央大學,D,D,220201,    中國文學系,235,44,191,8,49,9,42,13,46,11,42,3,12,0,0,0,0,0,0,3,12
103,8,國立中央大學,D,D,220310,    英美語文學系,232,55,177,11,45,11,46,18,39,13,46,2,1,0,0,0,0,0,0,2,1
103,8,國立中央大學,D,D,220314,    法國語文學系,205,40,165,13,36,12,39,2,48,11,39,2,3,0,0,0,0,0,0,2,3
103,8,國立中央大學,D,D,460101,    數學系,295,240,55,69,13,57,10,56,15,47,16,11,1,0,0,0,0,0,0,11,1
103,8,國立中央大學,D,D,440301,    物理學系,217,196,21,47,5,46,8,52,4,43,4,6,0,2,0,0,0,0,0,8,0
103,8,國立中央大學,D,D,440101,    化學學系,174,119,55,30,11,21,19,36,9,28,15,4,0,0,1,0,0,0,0,4,1
103,8,國立中央大學,D,D,520106,    光電科學與工程學系,157,125,32,34,9,27,7,30,8,30,8,3,0,1,0,0,0,0,0,4,0
103,8,國立中央大學,D,D,449999,    理學院學士班,81,62,19,12,7,11,6,18,4,20,1,1,0,0,1,0,0,0,0,1,1
103,8,國立中央大學,D,D,520301,    土木工程學系,423,356,67,91,14,71,26,90,12,91,14,9,1,4,0,0,0,0,0,13,1
103,8,國立中央大學,D,D,520201,    機械工程學系,608,551,57,135,18,130,15,135,12,126,12,21,0,4,0,0,0,0,0,25,0
103,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,225,156,69,36,17,38,14,41,18,38,20,3,0,0,0,0,0,0,0,3,0
103,8,國立中央大學,D,D,340301,    企業管理學系,436,177,259,40,72,38,67,38,67,56,50,4,3,1,0,0,0,0,0,5,3
103,8,國立中央大學,D,D,480109,    資訊管理學系,396,220,176,57,45,52,46,52,45,56,38,1,1,2,1,0,0,0,0,3,2
103,8,國立中央大學,D,D,340501,    財務金融學系,248,101,147,22,41,25,33,28,36,25,35,1,2,0,0,0,0,0,0,1,2
103,8,國立中央大學,D,D,310101,    經濟學系,256,120,136,17,35,32,32,33,35,35,34,3,0,0,0,0,0,0,0,3,0
103,8,國立中央大學,D,D,520101,    電機工程學系,410,360,50,84,15,85,12,91,14,94,9,5,0,1,0,0,0,0,0,6,0
103,8,國立中央大學,D,D,520114,    資訊工程學系,437,361,76,85,23,96,15,88,23,85,13,6,2,1,0,0,0,0,0,7,2
103,8,國立中央大學,D,D,520126,    通訊工程學系,208,163,45,38,14,34,14,44,6,41,11,5,0,1,0,0,0,0,0,6,0
103,8,國立中央大學,D,D,440401,    大氣科學學系,295,218,77,57,12,46,28,54,20,54,17,7,0,0,0,0,0,0,0,7,0
103,8,國立中央大學,D,D,440201,    地球科學學系,219,147,72,38,18,32,22,30,21,39,11,6,0,2,0,0,0,0,0,8,0
103,8,國立中央大學,D,D,311025,    客家語文暨社會科學學系,36,5,31,4,13,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,D,420103,    生命科學系,168,103,65,21,21,29,14,24,16,27,13,2,1,0,0,0,0,0,0,2,1
103,8,國立中央大學,D,2,SUBT2,碩士班           共計,3113,2139,974,975,433,936,384,162,100,64,55,2,2,0,0,0,0,0,0,2,2
103,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,19,15,4,7,3,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,220201,    中國文學系碩士班,53,20,33,7,9,2,9,5,10,6,5,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,220310,    英美語文學系碩士班,35,10,25,1,3,3,5,2,7,4,9,0,1,0,0,0,0,0,0,0,1
103,8,國立中央大學,D,M,220314,    法國語文學系碩士班,17,6,11,3,3,0,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,221101,    哲學研究所碩士班,21,14,7,4,0,4,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,220901,    歷史研究所碩士班,52,26,26,7,9,7,6,4,5,7,6,1,0,0,0,0,0,0,0,1,0
103,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,42,7,35,4,10,1,7,1,9,1,9,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,21,4,17,2,3,2,8,0,4,0,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,220201,    中國文學系戲曲碩士班,5,2,3,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,229916,    亞際文化研究國際碩士學位學程,7,3,4,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,460101,    數學系碩士班,59,48,11,23,4,16,4,6,3,3,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,440301,    物理學系碩士班,72,60,12,29,5,18,4,10,1,3,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,440101,    化學學系碩士班,120,75,45,35,24,39,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,460201,    統計研究所碩士班,35,19,16,7,6,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,119,101,18,46,10,49,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,440601,    天文研究所碩士班,20,11,9,5,4,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,20,17,3,8,0,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520106,    光電科學與工程學系照明與顯示科技碩士班,25,19,6,9,3,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520301,    土木工程學系碩士班,202,157,45,77,25,63,16,9,4,8,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520201,    機械工程學系碩士班,219,197,22,91,14,91,6,11,2,4,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,135,98,37,48,22,44,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,28,20,8,11,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,64,32,32,17,12,10,16,5,4,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,50,42,8,22,6,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,46,40,6,17,5,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,42,35,7,19,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,520527,    應用材料科學國際研究生碩士學位學程,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,340301,    企業管理學系碩士班,134,57,77,28,37,28,38,1,1,0,1,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,108,68,40,34,18,34,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,52,24,28,11,11,9,14,1,1,3,2,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,349906,    工業管理研究所碩士班,60,37,23,23,9,13,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,349919,    人力資源管理研究所碩士班,55,10,45,4,25,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,340501,    財務金融學系碩士班,53,30,23,15,12,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,國立中央大學,D,M,310101,    經濟學系碩士班,17,14,3,5,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
