科系別學生人數統計(依據101/3/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
100,8,國立中央大學,D,D,520201,    機械工程學系博士班,132,128,4,12,0,17,1,18,0,13,2,24,0,19,1,25,0,0,0,0,0
100,8,國立中央大學,D,D,520403,    化學工程與材料工程學系博士班,38,35,3,5,3,7,0,9,0,6,0,5,0,1,0,2,0,0,0,0,0
100,8,國立中央大學,D,D,349927,    營建管理研究所博士班,16,13,3,1,1,3,1,4,1,2,0,3,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,D,520901,    環境工程研究所博士班,14,9,5,1,0,1,0,3,0,2,3,2,1,0,1,0,0,0,0,0,0
100,8,國立中央大學,D,D,520229,    機械工程學系光機電工程博士班,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,D,521309,    能源工程研究所博士班,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,D,520502,    材料科學與工程研究所博士班,11,9,2,3,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,D,340301,    企業管理學系博士班,117,74,43,16,10,13,7,13,8,15,8,9,5,6,1,2,3,0,1,0,1
100,8,國立中央大學,D,D,480109,    資訊管理學系博士班,56,41,15,3,2,5,2,7,3,9,1,8,1,6,4,3,0,0,2,0,2
100,8,國立中央大學,D,D,310104,    產業經濟研究所博士班,20,8,12,0,1,0,0,3,0,1,1,3,2,0,0,1,6,0,2,0,2
100,8,國立中央大學,D,D,349906,    工業管理研究所博士班,22,19,3,2,2,3,1,6,0,2,0,2,0,2,0,2,0,0,0,0,0
100,8,國立中央大學,D,D,349919,    人力資源管理研究所博士班,17,8,9,2,1,0,0,2,2,4,3,0,2,0,0,0,1,0,0,0,0
100,8,國立中央大學,D,D,340501,    財務金融學系博士班,17,10,7,1,0,2,3,1,1,2,1,1,0,1,0,2,2,0,0,0,0
100,8,國立中央大學,D,D,310101,    經濟學系博士班,16,8,8,0,0,1,1,3,2,1,3,2,1,1,1,0,0,0,0,0,0
100,8,國立中央大學,D,D,520101,    電機工程學系博士班,130,125,5,12,1,20,0,23,2,18,0,20,1,13,0,19,1,0,0,0,0
100,8,國立中央大學,D,D,520114,    資訊工程學系博士班,108,99,9,16,0,13,2,17,2,16,1,17,2,11,1,9,1,0,0,0,0
100,8,國立中央大學,D,D,520126,    通訊工程學系博士班,45,43,2,4,0,6,1,7,0,8,0,7,1,4,0,6,0,1,0,1,0
100,8,國立中央大學,D,D,140805,    網路學習科技研究所博士班,26,20,6,5,2,5,2,3,1,2,0,4,0,1,1,0,0,0,0,0,0
100,8,國立中央大學,D,D,440402,    大氣物理研究所博士班,16,11,5,3,0,1,2,4,0,1,1,0,1,0,0,2,1,0,0,0,0
100,8,國立中央大學,D,D,440209,    地球物理研究所博士班,30,24,6,4,0,3,3,6,0,1,0,3,2,5,0,2,1,0,0,0,0
100,8,國立中央大學,D,D,440603,    太空科學研究所博士班,37,35,2,8,0,5,0,7,0,4,1,3,0,5,0,2,1,1,0,1,0
100,8,國立中央大學,D,D,440204,    應用地質研究所博士班,12,8,4,2,0,3,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0
100,8,國立中央大學,D,D,440207,    水文與海洋科學研究所博士班,4,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,D,440213,    地球系統科學國際研究生博士學位學程,9,6,3,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,D,311023,    公共事務與族群研究博士學位學程,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,9,SUBT5,產業研發碩士專班           共計,5,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8,國立中央大學,D,M,520188,    光電科學與工程學系光電產業研發碩士專班,5,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
