1092(依據110/03/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
109,8,國立中央大學,,,TOTAL,全校班級,11467,7348,4119,2322,1317,2198,1255,1298,735,1122,650,252,108,82,27,69,25,5,2,191,73
109,8,國立中央大學,D,1,SUBT1,學士班           共計,5847,3646,2201,894,579,873,526,871,542,878,503,105,48,23,3,2,0,0,0,130,51
109,8,國立中央大學,D,D,1146,    中國文學系,202,43,159,11,36,11,39,11,35,6,45,4,4,0,0,0,0,0,0,4,4
109,8,國立中央大學,D,D,1150,    英美語文學系,209,53,156,15,29,13,37,11,46,13,39,1,5,0,0,0,0,0,0,1,5
109,8,國立中央大學,D,D,1152,    法國語文學系,203,34,169,10,35,7,44,11,37,3,44,3,7,0,2,0,0,0,0,3,9
109,8,國立中央大學,D,D,15182,    文學院學士班,20,4,16,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1162,    數學系,290,217,73,50,28,51,16,46,16,60,9,8,3,1,1,1,0,0,0,10,4
109,8,國立中央大學,D,D,1165,    物理學系,191,154,37,36,12,35,7,36,12,38,5,7,1,1,0,1,0,0,0,9,1
109,8,國立中央大學,D,D,1168,    化學學系,156,84,72,14,22,17,17,25,17,25,15,2,1,1,0,0,0,0,0,3,1
109,8,國立中央大學,D,D,5470,    光電科學與工程學系,172,120,52,26,11,33,11,25,17,32,13,4,0,0,0,0,0,0,0,4,0
109,8,國立中央大學,D,D,7077,    理學院學士班,70,47,23,11,7,11,4,9,7,14,3,1,2,1,0,0,0,0,0,2,2
109,8,國立中央大學,D,D,1186,    土木工程學系,363,294,69,80,19,58,21,74,11,75,13,6,5,1,0,0,0,0,0,7,5
109,8,國立中央大學,D,D,1190,    機械工程學系,517,452,65,112,18,100,12,110,16,108,18,18,1,4,0,0,0,0,0,22,1
109,8,國立中央大學,D,D,1183,    化學工程與材料工程學系,196,134,62,32,12,29,17,31,17,39,14,3,2,0,0,0,0,0,0,3,2
109,8,國立中央大學,D,D,14515,    工學院學士班,72,56,16,14,12,21,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1205,    企業管理學系,387,171,216,51,52,45,52,32,57,40,50,2,5,1,0,0,0,0,0,3,5
109,8,國立中央大學,D,D,1209,    資訊管理學系,406,239,167,61,38,65,41,55,45,52,41,5,2,1,0,0,0,0,0,6,2
109,8,國立中央大學,D,D,1216,    財務金融學系,252,109,143,27,30,31,30,23,42,24,40,2,1,2,0,0,0,0,0,4,1
109,8,國立中央大學,D,D,1213,    經濟學系,243,138,105,28,29,34,23,32,27,39,24,5,2,0,0,0,0,0,0,5,2
109,8,國立中央大學,D,D,1229,    電機工程學系,436,355,81,75,19,89,22,83,22,91,18,13,0,4,0,0,0,0,0,17,0
109,8,國立中央大學,D,D,1233,    資訊工程學系,408,297,111,63,30,70,31,78,21,78,29,6,0,2,0,0,0,0,0,8,0
109,8,國立中央大學,D,D,1237,    通訊工程學系,173,129,44,32,11,33,9,33,12,30,12,1,0,0,0,0,0,0,0,1,0
109,8,國立中央大學,D,D,14516,    資訊電機學院學士班,64,48,16,16,6,14,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1243,    大氣科學學系,237,162,75,19,13,39,18,45,23,50,21,6,0,3,0,0,0,0,0,9,0
109,8,國立中央大學,D,D,1246,    地球科學學系,170,113,57,28,20,24,12,27,14,31,7,3,4,0,0,0,0,0,0,3,4
109,8,國立中央大學,D,D,14765,    地球科學學院學士班,33,17,16,9,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,15188,    太空科學與工程學系,28,19,9,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,9250,    客家語文暨社會科學學系,119,42,77,14,30,7,21,11,18,7,7,3,1,0,0,0,0,0,0,3,1
109,8,國立中央大學,D,D,1177,    生命科學系,140,77,63,22,17,21,13,16,13,16,18,1,2,1,0,0,0,0,0,2,2
109,8,國立中央大學,D,D,10236,    生醫科學與工程學系,90,38,52,15,11,7,12,8,11,7,18,1,0,0,0,0,0,0,0,1,0
109,8,國立中央大學,D,2,SUBT2,碩士班           共計,3323,2199,1124,986,476,925,478,204,110,84,59,0,1,0,0,0,0,0,0,0,1
109,8,國立中央大學,D,M,7073,    遙測科技碩士學位學程,19,9,10,4,5,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1148,    中國文學系碩士班,56,25,31,8,6,6,11,5,8,6,6,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1151,    英美語文學系碩士班,33,9,24,3,8,2,7,3,5,1,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1153,    法國語文學系碩士班,16,7,9,0,3,0,2,3,2,4,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1155,    哲學研究所碩士班,21,9,12,1,2,3,6,3,1,2,3,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1157,    歷史研究所碩士班,32,23,9,9,2,8,1,1,3,5,2,0,1,0,0,0,0,0,0,0,1
109,8,國立中央大學,D,M,1159,    藝術學研究所碩士班,26,6,20,1,6,1,6,3,4,1,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1160,    學習與教學研究所碩士班,32,7,25,2,8,1,9,4,5,0,3,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9253,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),18,5,13,2,3,1,3,1,3,1,4,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1164,    數學系碩士班,64,49,15,21,6,20,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1167,    物理學系碩士班,79,66,13,25,6,25,7,8,0,8,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1170,    化學學系碩士班,126,75,51,38,24,31,27,5,0,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1176,    統計研究所碩士班,43,30,13,13,9,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1174,    光電科學與工程學系碩士班,151,128,23,61,11,46,10,14,2,7,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1172,    天文研究所碩士班,29,15,14,6,7,6,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9931,    物理學系生物物理碩士班,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9935,    光電科學與工程學系照明與顯示科技碩士班,10,9,1,5,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1188,    土木工程學系碩士班,194,147,47,64,24,69,19,12,2,2,2,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1192,    機械工程學系碩士班,237,207,30,101,13,85,11,15,3,6,3,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1185,    化學工程與材料工程學系碩士班,136,83,53,41,29,40,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1195,    環境工程研究所碩士班,86,56,30,22,5,17,12,12,12,5,1,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,9932,    機械工程學系光機電工程碩士班,54,52,2,21,1,26,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1203,    能源工程研究所碩士班,33,27,6,8,3,16,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1200,    材料科學與工程研究所碩士班,46,35,11,16,4,16,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,14766,    國際永續發展碩士學位學程,11,5,6,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,14902,    土木工程學系營建管理碩士班,20,12,8,4,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1207,    企業管理學系碩士班,127,46,81,21,37,22,39,2,5,1,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,M,1211,    資訊管理學系碩士班,129,78,51,41,25,36,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
