1091(依據109/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
109,8,國立中央大學,D,D,15220,    材料科學與工程研究所工學博士班,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1206,    企業管理學系博士班,84,49,35,10,8,9,10,8,5,9,3,4,6,7,2,2,1,0,0,0,0
109,8,國立中央大學,D,D,1210,    資訊管理學系博士班,13,10,3,3,0,1,1,0,0,1,0,0,0,1,0,4,2,0,0,0,0
109,8,國立中央大學,D,D,1220,    產業經濟研究所博士班,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1226,    工業管理研究所博士班,12,7,5,0,1,1,0,1,1,0,1,1,2,2,0,1,0,1,0,1,0
109,8,國立中央大學,D,D,1223,    人力資源管理研究所博士班,5,4,1,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1217,    財務金融學系博士班,9,7,2,2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,1214,    經濟學系博士班,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
109,8,國立中央大學,D,D,1230,    電機工程學系博士班,42,37,5,6,1,6,0,8,0,2,1,4,1,4,1,6,1,1,0,1,0
109,8,國立中央大學,D,D,1234,    資訊工程學系博士班,79,56,23,13,8,8,1,6,5,8,6,7,2,5,1,9,0,0,0,0,0
109,8,國立中央大學,D,D,1238,    通訊工程學系博士班,15,13,2,3,0,1,1,2,0,4,0,1,0,0,1,2,0,0,0,0,0
109,8,國立中央大學,D,D,1242,    網路學習科技研究所博士班,30,22,8,3,1,7,1,2,1,3,3,2,2,1,0,4,0,0,0,0,0
109,8,國立中央大學,D,D,9642,    大氣科學學系大氣物理博士班,27,22,5,4,0,3,3,3,1,5,0,2,0,2,1,1,0,2,0,2,0
109,8,國立中央大學,D,D,9644,    地球科學學系地球物理博士班,20,17,3,4,1,4,1,2,0,3,0,2,1,1,0,1,0,0,0,0,0
109,8,國立中央大學,D,D,1251,    應用地質研究所博士班,21,19,2,4,0,4,0,5,2,5,0,1,0,0,0,0,0,0,0,0,0
109,8,國立中央大學,D,D,5482,    水文與海洋科學研究所博士班,12,8,4,2,0,3,1,0,1,0,1,0,1,2,0,1,0,0,0,0,0
