1072「第二專長(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
              第二專長      所屬系所,中文,人文應用與文創實務,英美文學與文化研究,法語文化與跨文化,藝術史實務,數學,物理,化學,光學,材料與製造工程,能源科技,機械設計,光機電工程,化學工程與材料工程,土木工程,國際金融,智慧電子,初階積體電路設計,資訊工程程式設計,人工智慧,通訊工程,社會實踐與發展,公共行政與政策,法律,生物科技,生物多樣性,哲學思考,認知神經科學,應用地球科學,循環經濟,系(所)總合
中國文學系,,,1,,11,,,,,,,,,,,4,,,4,,,,4,16,,,,,,,40
英美語文學系,,,,,,,,,,,,,,,,3,,,1,,,,,15,,,,,,,19
法國語文學系,,1,,,7,,,,,,,,,,,,,,,,,,,2,,,,,,,10
數學系,,,,,,,,,,,,1,,,,3,,,12,,1,,,,,,,,,,17
物理學系,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,3
土木工程學系,,,,,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,4
機械工程學系,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,5
企業管理學系,,,,,,,,,,,,,,,,5,,,,3,,,,3,,,2,,,,13
資訊管理學系,,,,,,,,,,,,,,,,3,1,,24,2,,,,1,,,,,,,31
財務金融學系,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,3
經濟學系,3,,1,,,,,,,,,,,,,,,,2,,,,,8,,,,,,,14
電機工程學系,,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,10
資訊工程學系,,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,4
通訊工程學系,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,2
大氣科學學系,,,,,,,1,,,,,,,,,,,,1,,1,,,2,,,,,,,5
地球科學學系,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,2
客家語文暨社會科學學系,1,,,,1,,,,,,,,,,,1,,,,,,1,1,6,,,,,,,11
生命科學系,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2
生醫科學與工程學系,,,,,,,,,,,,,,3,,,,,2,1,,,,,,,,,,,6
總合,4,2,3,,22,,1,,1,,,1,,4,,21,2,1,62,6,3,1,5,58,,,3,1,,,201
