991「輔系(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
"              輔系
 所屬系所",中文,英文,法文,數學,物理,化學,生科,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,系(所)總合
中國文學系,,,7,,,,,,,,,,,,1,,,,,,,8
英美語文學系,,,10,,,,,,,,,,2,,2,1,,,,,,15
法國語文學系,2,,1,,,,,,,,,,,,,1,,,,,,4
數學系,,,,,,,,,,,,,,,1,,1,3,,,,5
化學學系,,,,,,,3,,,,,,,,,,,,,,,3
生命科學系,,,,,,3,,,,,,,,,,,,,,,,3
光電科學與工程學系,,,,,1,,1,,,,,,,,,,1,,,,,3
機械工程學系,,,,,1,,,,,,,,,,,1,1,1,,,,4
企業管理學系,1,,3,,,,1,,,,,,,,8,1,,,,,,14
資訊管理學系,,,,,,,,,,,,,1,,4,1,,3,,,,9
財務金融學系,,,,2,,,,,,,,,,,,,,,,,,2
經濟學系,,,2,2,,,,,,,,,1,,9,1,,,,,,15
資訊工程學系,,,,,,,,,,,,,1,,,,3,,,,,4
大氣科學學系,,,1,,3,1,,,,,1,,,,,,,,,,,6
地球科學學系,,,,,2,,1,,,,,,,,1,,,,,,,4
總合,3,,24,4,7,4,6,,,,1,,5,,26,6,6,7,,,,99
