1061(依據106/10/15在學學生資料-不含交換生及休學生),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,八年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8,M9,F9
106,8,國立中央大學,,,TOTAL,全校班級,11924,7797,4127,2392,1295,2316,1218,1479,787,1155,660,255,114,104,20,94,30,2,3,200,98
106,8,國立中央大學,D,1,SUBT1,學士班           共計,6117,3917,2200,972,531,949,532,934,524,904,540,131,68,25,5,2,0,0,0,158,73
106,8,國立中央大學,D,D,220201,    中國文學系,212,38,174,6,47,9,36,10,37,7,39,4,13,2,2,0,0,0,0,6,15
106,8,國立中央大學,D,D,220310,    英美語文學系,231,46,185,14,41,10,44,7,44,12,47,3,9,0,0,0,0,0,0,3,9
106,8,國立中央大學,D,D,220314,    法國語文學系,208,39,169,5,43,9,40,9,41,15,38,1,6,0,1,0,0,0,0,1,7
106,8,國立中央大學,D,D,460101,    數學系,304,244,60,67,9,54,19,54,17,56,12,10,3,3,0,0,0,0,0,13,3
106,8,國立中央大學,D,D,440301,    物理學系,218,189,29,45,7,41,9,45,6,45,5,10,2,3,0,0,0,0,0,13,2
106,8,國立中央大學,D,D,440101,    化學學系,166,112,54,28,15,24,19,29,10,28,10,2,0,1,0,0,0,0,0,3,0
106,8,國立中央大學,D,D,520106,    光電科學與工程學系,175,139,36,29,11,36,4,35,11,36,10,2,0,1,0,0,0,0,0,3,0
106,8,國立中央大學,D,D,449999,    理學院學士班,71,48,23,15,5,11,5,11,7,10,6,1,0,0,0,0,0,0,0,1,0
106,8,國立中央大學,D,D,520301,    土木工程學系,387,324,63,95,14,69,17,68,17,80,13,9,2,3,0,0,0,0,0,12,2
106,8,國立中央大學,D,D,520201,    機械工程學系,618,540,78,131,19,136,20,128,15,122,21,19,3,3,0,1,0,0,0,23,3
106,8,國立中央大學,D,D,520403,    化學工程與材料工程學系,208,143,65,35,14,38,17,30,16,37,18,3,0,0,0,0,0,0,0,3,0
106,8,國立中央大學,D,D,340301,    企業管理學系,433,169,264,50,61,28,68,44,59,39,70,7,6,1,0,0,0,0,0,8,6
106,8,國立中央大學,D,D,480109,    資訊管理學系,425,232,193,55,47,57,52,57,37,53,47,10,9,0,1,0,0,0,0,10,10
106,8,國立中央大學,D,D,340501,    財務金融學系,270,111,159,24,38,31,35,26,40,25,43,5,3,0,0,0,0,0,0,5,3
106,8,國立中央大學,D,D,310101,    經濟學系,274,139,135,39,21,30,31,35,36,26,41,9,6,0,0,0,0,0,0,9,6
106,8,國立中央大學,D,D,520101,    電機工程學系,423,355,68,84,14,99,15,82,20,84,18,6,1,0,0,0,0,0,0,6,1
106,8,國立中央大學,D,D,520114,    資訊工程學系,475,370,105,80,30,96,27,100,22,86,26,7,0,1,0,0,0,0,0,8,0
106,8,國立中央大學,D,D,520126,    通訊工程學系,214,162,52,34,15,42,9,36,12,41,15,8,1,1,0,0,0,0,0,9,1
106,8,國立中央大學,D,D,440401,    大氣科學學系,298,226,72,57,18,53,19,57,19,50,14,7,1,2,1,0,0,0,0,9,2
106,8,國立中央大學,D,D,440201,    地球科學學系,202,138,64,38,17,32,13,30,17,29,16,6,1,2,0,1,0,0,0,9,1
106,8,國立中央大學,D,D,311025,    客家語文暨社會科學學系,75,29,46,10,10,9,10,6,13,4,12,0,1,0,0,0,0,0,0,0,1
106,8,國立中央大學,D,D,420103,    生命科學系,165,85,80,22,19,17,19,23,22,19,19,2,1,2,0,0,0,0,0,4,1
106,8,國立中央大學,D,D,521116,    生醫科學與工程學系,65,39,26,9,16,18,4,12,6,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,2,SUBT2,碩士班           共計,3447,2288,1159,989,496,908,462,314,151,77,49,0,1,0,0,0,0,0,0,0,1
106,8,國立中央大學,D,M,449904,    遙測科技碩士學位學程,28,15,13,5,5,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,220201,    中國文學系碩士班,61,25,36,7,7,6,11,3,14,9,4,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,220310,    英美語文學系碩士班,21,6,15,2,7,1,1,2,4,1,3,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,220314,    法國語文學系碩士班,20,6,14,1,2,1,4,3,4,1,4,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,221101,    哲學研究所碩士班,21,13,8,4,6,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,220901,    歷史研究所碩士班,50,23,27,8,7,2,6,6,4,7,10,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,210701,    藝術學研究所碩士班,31,7,24,2,6,0,6,2,7,3,5,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,140111,    學習與教學研究所碩士班,25,4,21,2,8,1,6,1,6,0,0,0,1,0,0,0,0,0,0,0,1
106,8,國立中央大學,D,M,229916,    亞際文化研究國際碩士學位學程(台灣聯合大學系統),16,5,11,1,4,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,460101,    數學系碩士班,68,47,21,16,8,15,9,12,4,4,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,440301,    物理學系碩士班,81,67,14,27,8,20,5,14,1,6,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,440101,    化學學系碩士班,129,86,43,37,25,43,15,5,3,1,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,460201,    統計研究所碩士班,53,37,16,19,5,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520106,    光電科學與工程學系碩士班,130,108,22,51,8,44,6,12,7,1,1,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,440601,    天文研究所碩士班,28,22,6,9,3,8,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,440301,    物理學系生物物理碩士班,8,7,1,1,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520106,    光電科學與工程學系照明與顯示科技碩士班,22,20,2,9,1,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520301,    土木工程學系碩士班,213,156,57,68,25,61,25,21,7,6,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520201,    機械工程學系碩士班,251,225,26,91,15,92,9,38,1,4,1,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520403,    化學工程與材料工程學系碩士班,137,88,49,49,20,35,26,4,2,0,1,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,349927,    營建管理研究所碩士班,34,19,15,10,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520901,    環境工程研究所碩士班,86,52,34,18,12,13,13,14,9,7,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520201,    機械工程學系光機電工程碩士班,66,59,7,28,2,24,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,521309,    能源工程研究所碩士班,55,45,10,19,4,20,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520502,    材料科學與工程研究所碩士班,44,35,9,17,4,16,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,520527,    應用材料科學國際研究生碩士學位學程,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,340301,    企業管理學系碩士班,143,76,67,32,32,36,30,6,5,2,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,480109,    資訊管理學系碩士班,113,66,47,35,20,28,25,3,1,0,1,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,310104,    產業經濟研究所碩士班,55,28,27,10,13,12,10,5,4,1,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,349906,    工業管理研究所碩士班,64,36,28,17,12,17,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,349919,    人力資源管理研究所碩士班,56,13,43,6,21,6,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,340501,    財務金融學系碩士班,59,35,24,18,13,12,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8,國立中央大學,D,M,310101,    經濟學系碩士班,26,11,15,5,7,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
