表4-1  科系別學生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,本表以981015資料為準，同報教育部統計資料,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,學生數總計,,,一年級,,二年級,,三年級,,四年級,,五年級,,六年級,,七年級,,延修生,
,,,,,,,計,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3,M4,F4,M5,F5,M6,F6,M7,F7,M8,F8
98,0008,國立中央大學,D,D,440601,    天文研究所博士班,22,15,7,2,1,4,1,2,0,3,2,1,0,0,3,3,0,0,0
98,0008,國立中央大學,D,D,420611,    系統生物與生物資訊研究所博士班,19,16,3,1,1,4,2,7,0,4,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,D,520301,    土木工程學系博士班,86,80,6,6,2,12,0,10,2,12,2,16,0,14,0,10,0,0,0
98,0008,國立中央大學,D,D,520201,    機械工程學系博士班,182,177,5,27,1,22,2,29,0,37,0,31,2,21,0,10,0,0,0
98,0008,國立中央大學,D,D,520403,    化學工程與材料工程學系博士班,45,42,3,10,0,7,0,11,1,2,0,4,0,6,0,2,2,0,0
98,0008,國立中央大學,D,D,349927,    營建管理研究所博士班,11,10,1,2,1,2,0,2,0,4,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,D,520901,    環境工程研究所博士班,22,15,7,3,0,3,3,4,1,0,2,5,0,0,0,0,1,0,0
98,0008,國立中央大學,D,D,520229,    光機電工程研究所博士班,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,D,520502,    材料科學與工程研究所博士班,6,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0008,國立中央大學,D,D,340301,    企業管理學系博士班,136,87,49,21,9,19,13,20,9,10,7,10,6,5,4,2,1,0,0
98,0008,國立中央大學,D,D,480109,    資訊管理學系博士班,80,58,22,12,3,11,2,9,2,7,4,10,2,4,6,5,3,0,0
