1012「雙主修(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
             雙主修           主系,中文,英文,法文,數學,物理,化學,生科,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,系(所)總合
中國文學系,,10,2,,,,,,,,,,,,4,2,1,,,,,19
英美語文學系,1,,3,,,,,,,,,,,2,3,4,,,,,,13
法國語文學系,,1,,,,,,,,,,,1,,3,5,,,,,,10
數學系,,,,,1,,,,,1,,,,,,,,6,,,,8
物理學系,,,,,,,,,,,,,,,,,1,,,,1,2
化學學系,,,,,,,,,,,,,,,,,,1,,,,1
生命科學系,,,,,,,,,,,1,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,1,,,,,,1
機械工程學系,,,,,,,,,,,,,,,1,,1,2,,,,4
企業管理學系,,1,,1,,,,,,,,,,,23,2,,,,,,27
資訊管理學系,,,,,1,,,,,,,,,,5,,,3,,,,9
財務金融學系,,,,,,,,,,,,,,2,,,,2,,,,4
經濟學系,,,,,,,1,,,,,,,1,1,,,,,,,3
資訊工程學系,,,,,1,,,,,,,,,1,,,,,,,,2
通訊工程學系,,,,,,,,1,,,,,1,1,,,,1,,,,4
大氣科學學系,,,,,,,,,,,,,,,,,1,,,,,1
地球科學學系,,,,,,,,,,,,,,,1,,,,1,,,2
總合,1,12,5,1,3,,1,1,,1,1,,2,7,41,14,4,15,1,,1,111
