113學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
,8,國立中央大學,,,TOTAL,全校班級,3513,2208,1305,2107,1256,26,8,75,41
,8,國立中央大學,N,,SUBT1,學士班           共計,1452,900,552,882,546,17,6,1,0
,8,國立中央大學,N,,1146,中國文學系,40,8,32,7,32,1,,,
,8,國立中央大學,N,,1150,英美語文學系,40,11,29,10,29,1,,,
,8,國立中央大學,N,,1152,法國語文學系,49,12,37,11,37,1,,,
,8,國立中央大學,N,,15182,文學院學士班,18,3,15,3,14,,1,,
,8,國立中央大學,N,,1162,數學系,64,46,18,44,18,2,,,
,8,國立中央大學,N,,1165,物理學系,40,30,10,30,10,,,,
,8,國立中央大學,N,,1168,化學學系,40,20,20,20,20,,,,
,8,國立中央大學,N,,5470,光電科學與工程學系,48,34,14,34,14,,,,
,8,國立中央大學,N,,7077,理學院學士班,17,11,6,11,6,,,,
,8,國立中央大學,N,,1186,土木工程學系,81,65,16,63,16,2,,,
,8,國立中央大學,N,,1190,機械工程學系,129,106,23,106,23,,,,
,8,國立中央大學,N,,1183,化學工程與材料工程學系,59,46,13,46,13,,,,
,8,國立中央大學,N,,14515,工學院學士班,15,13,2,13,2,,,,
,8,國立中央大學,N,,1205,企業管理學系,86,41,45,41,44,,1,,
,8,國立中央大學,N,,1209,資訊管理學系,105,66,39,59,38,6,1,1,
,8,國立中央大學,N,,1216,財務金融學系,72,28,44,28,44,,,,
,8,國立中央大學,N,,1213,經濟學系,63,24,39,23,37,1,2,,
,8,國立中央大學,N,,1229,電機工程學系,110,87,23,87,22,,1,,
,8,國立中央大學,N,,1233,資訊工程學系,109,89,20,89,20,,,,
,8,國立中央大學,N,,1237,通訊工程學系,47,31,16,31,16,,,,
,8,國立中央大學,N,,14516,資訊電機學院學士班,22,19,3,18,3,1,,,
,8,國立中央大學,N,,1243,大氣科學學系,30,19,11,18,11,1,,,
,8,國立中央大學,N,,1246,地球科學學系,40,26,14,26,14,,,,
,8,國立中央大學,N,,14765,地球科學學院學士班,13,9,4,9,4,,,,
,8,國立中央大學,N,,15188,太空科學與工程學系,30,24,6,24,6,,,,
,8,國立中央大學,N,,9250,客家語文暨社會科學學系,30,6,24,6,24,,,,
,8,國立中央大學,N,,1177,生命科學系,35,15,20,14,20,1,,,
,8,國立中央大學,N,,10236,生醫科學與工程學系,20,11,9,11,9,,,,
,8,國立中央大學,N,,SUBT2,碩士班           共計,1480,976,504,921,478,9,2,46,24
,8,國立中央大學,N,,7073,遙測科技碩士學位學程,11,7,4,3,2,,,4,2
,8,國立中央大學,N,,1148,中國文學系碩士班,8,5,3,3,2,,1,2,
,8,國立中央大學,N,,1151,英美語文學系碩士班,8,2,6,2,6,,,,
,8,國立中央大學,N,,1153,法國語文學系碩士班,5,2,3,2,3,,,,
,8,國立中央大學,N,,1155,哲學研究所碩士班,2,2,0,,,1,,1,
,8,國立中央大學,N,,1157,歷史研究所碩士班,9,5,4,5,4,,,,
,8,國立中央大學,N,,1159,藝術學研究所碩士班,6,3,3,2,3,,,1,
,8,國立中央大學,N,,1160,學習與教學研究所碩士班,9,2,7,2,7,,,,
,8,國立中央大學,N,,9253,亞際文化研究國際碩士學位學程(台灣聯合大學系統),6,1,5,,1,1,1,,3
,8,國立中央大學,N,,1164,數學系碩士班,22,15,7,15,7,,,,
,8,國立中央大學,N,,1167,物理學系碩士班,36,29,7,26,6,1,,2,1
,8,國立中央大學,N,,1170,化學學系碩士班,71,38,33,38,33,,,,
,8,國立中央大學,N,,1176,統計研究所碩士班,27,18,9,18,9,,,,
,8,國立中央大學,N,,1174,光電科學與工程學系碩士班,94,77,17,75,17,,,2,
,8,國立中央大學,N,,1172,天文研究所碩士班,5,3,2,3,2,,,,
,8,國立中央大學,N,,9935,光電科學與工程學系照明與顯示科技碩士班,5,5,0,5,,,,,
,8,國立中央大學,N,,1188,土木工程學系碩士班,73,49,24,48,21,,,1,3
,8,國立中央大學,N,,1192,機械工程學系碩士班,133,118,15,108,15,1,,9,
,8,國立中央大學,N,,1185,化學工程與材料工程學系碩士班,76,46,30,44,29,,,2,1
,8,國立中央大學,N,,1195,環境工程研究所碩士班,34,21,13,20,13,,,1,
,8,國立中央大學,N,,9932,機械工程學系光機電工程碩士班,15,12,3,11,3,,,1,
,8,國立中央大學,N,,1203,能源工程研究所碩士班,13,11,2,10,1,,,1,1
,8,國立中央大學,N,,1200,材料科學與工程研究所碩士班,28,20,8,20,8,,,,
,8,國立中央大學,N,,14902,土木工程學系營建管理碩士班,8,4,4,3,4,,,1,
,8,國立中央大學,N,,1207,企業管理學系碩士班,48,25,23,25,22,,,,1
,8,國立中央大學,N,,1211,資訊管理學系碩士班,63,31,32,31,32,,,,
,8,國立中央大學,N,,1221,產業經濟研究所碩士班,26,11,15,11,15,,,,
,8,國立中央大學,N,,1227,工業管理研究所碩士班,23,14,9,14,9,,,,
,8,國立中央大學,N,,1224,人力資源管理研究所碩士班,24,3,21,3,21,,,,
,8,國立中央大學,N,,1218,財務金融學系碩士班,25,16,9,16,8,,,,1
,8,國立中央大學,N,,1215,經濟學系碩士班,13,9,4,9,4,,,,
,8,國立中央大學,N,,5478,會計研究所碩士班,12,2,10,2,10,,,,
,8,國立中央大學,N,,15845,國際經營管理碩士學位學程,15,6,9,4,7,1,,1,2
,8,國立中央大學,N,,1231,電機工程學系碩士班,138,112,26,112,26,,,,
,8,國立中央大學,N,,1235,資訊工程學系碩士班,135,95,40,91,39,1,,3,1
,8,國立中央大學,N,,1239,通訊工程學系碩士班,54,44,10,43,10,,,1,
,8,國立中央大學,N,,1241,網路學習科技研究所碩士班,21,17,4,15,3,,,2,1
,8,國立中央大學,N,,9934,資訊工程學系軟體工程碩士班,17,17,0,17,,,,,
,8,國立中央大學,N,,14701,資訊工程學系AI碩士班,10,8,2,8,2,,,,
,8,國立中央大學,N,,15771,人工智慧國際碩士學位學程,10,7,3,3,3,1,,3,
,8,國立中央大學,N,,9641,大氣科學學系大氣物理碩士班,20,10,10,8,10,1,,1,
,8,國立中央大學,N,,9643,地球科學學系地球物理碩士班,17,6,11,3,9,,,3,2
,8,國立中央大學,N,,1252,應用地質研究所碩士班,6,5,1,4,1,,,1,
,8,國立中央大學,N,,1253,水文與海洋科學研究所碩士班,9,4,5,4,5,,,,
,8,國立中央大學,N,,15185,太空科學與工程學系碩士班,17,10,7,10,7,,,,
,8,國立中央大學,N,,1257,法律與政府研究所碩士班,10,4,6,3,6,,,1,
,8,國立中央大學,N,,15844,客家語文暨社會科學學系客家社會及政策碩士班,7,3,4,3,4,,,,
,8,國立中央大學,N,,9938,客家語文暨社會科學學系客家語文碩士班,1,1,0,,,1,,,
,8,國立中央大學,N,,1179,生命科學系碩士班,19,7,12,5,11,,,2,1
,8,國立中央大學,N,,1180,認知神經科學研究所碩士班,12,0,12,,10,,,,2
,8,國立中央大學,N,,10238,生醫科學與工程學系系統生物與生物資訊碩士班,8,4,4,4,2,,,,2
,8,國立中央大學,N,,10237,生醫科學與工程學系生物醫學工程碩士班,16,10,6,10,6,,,,
,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,453,247,206,247,206,,,,
,8,國立中央大學,N,,1156,哲學研究所碩士在職專班,7,1,6,1,6,,,,
,8,國立中央大學,N,,1158,歷史研究所碩士在職專班,8,4,4,4,4,,,,
,8,國立中央大學,N,,5469,光電科學與工程學系碩士在職專班,9,5,4,5,4,,,,
,8,國立中央大學,N,,1189,土木工程學系碩士在職專班,26,21,5,21,5,,,,
,8,國立中央大學,N,,1193,機械工程學系碩士在職專班,19,17,2,17,2,,,,
,8,國立中央大學,N,,1196,環境工程研究所碩士在職專班,17,14,3,14,3,,,,
,8,國立中央大學,N,,14904,土木工程學系營建管理碩士在職專班,9,6,3,6,3,,,,
,8,國立中央大學,N,,5479,管理學院高階主管企管碩士班,71,49,22,49,22,,,,
,8,國立中央大學,N,,1208,企業管理學系碩士在職專班,30,12,18,12,18,,,,
,8,國立中央大學,N,,1212,資訊管理學系碩士在職專班,42,24,18,24,18,,,,
,8,國立中央大學,N,,1222,產業經濟研究所碩士在職專班,27,6,21,6,21,,,,
,8,國立中央大學,N,,1228,工業管理研究所碩士在職專班,24,13,11,13,11,,,,
,8,國立中央大學,N,,1225,人力資源管理研究所碩士在職專班,20,7,13,7,13,,,,
,8,國立中央大學,N,,1219,財務金融學系碩士在職專班,35,16,19,16,19,,,,
,8,國立中央大學,N,,10218,會計研究所企業資源規劃會計碩士在職專班,24,6,18,6,18,,,,
,8,國立中央大學,N,,15905,管理學院碩士在職現役軍人營區專班,1,0,1,,1,,,,
,8,國立中央大學,N,,1236,資訊工程學系碩士在職專班,22,17,5,17,5,,,,
,8,國立中央大學,N,,1240,通訊工程學系碩士在職專班,14,12,2,12,2,,,,
,8,國立中央大學,N,,10243,網路學習科技研究所碩士在職專班,11,5,6,5,6,,,,
,8,國立中央大學,N,,15494,法律與政府研究所碩士在職專班,11,5,6,5,6,,,,
,8,國立中央大學,N,,9581,客家語文暨社會科學學系客家研究碩士在職專班,16,5,11,5,11,,,,
,8,國立中央大學,N,,15770,生醫科學與工程學系人工智慧精準醫療碩士在職專班,10,2,8,2,8,,,,
,8,國立中央大學,N,,SUBT4,博士班           共計,125,83,42,55,25,,,28,17
,8,國立中央大學,N,,1147,中國文學系博士班,3,0,3,,3,,,,
,8,國立中央大學,N,,1154,哲學研究所博士班,2,0,2,,2,,,,
,8,國立中央大學,N,,1161,學習與教學研究所博士班,4,1,3,1,3,,,,
,8,國立中央大學,N,,1163,數學系博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1166,物理學系博士班,9,4,5,4,2,,,,3
,8,國立中央大學,N,,1175,統計研究所博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,1173,光電科學與工程學系博士班,5,4,1,3,,,,1,1
,8,國立中央大學,N,,1171,天文研究所博士班,2,1,1,1,,,,,1
,8,國立中央大學,N,,1187,土木工程學系博士班,9,5,4,1,2,,,4,2
,8,國立中央大學,N,,1191,機械工程學系博士班,6,6,0,2,,,,4,
,8,國立中央大學,N,,1184,化學工程與材料工程學系博士班,4,4,0,4,,,,,
,8,國立中央大學,N,,1194,環境工程研究所博士班,3,1,2,1,,,,,2
,8,國立中央大學,N,,9933,機械工程學系光機電工程博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,9466,能源工程研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,5473,材料科學與工程研究所博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,14903,土木工程學系營建管理博士班,4,4,0,2,,,,2,
,8,國立中央大學,N,,15218,化學工程與材料工程學系工學博士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,1206,企業管理學系博士班,3,2,1,1,1,,,1,
,8,國立中央大學,N,,1210,資訊管理學系博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,1220,產業經濟研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1223,人力資源管理研究所博士班,1,0,1,,1,,,,
,8,國立中央大學,N,,1217,財務金融學系博士班,1,1,0,,,,,1,
,8,國立中央大學,N,,1230,電機工程學系博士班,5,3,2,1,2,,,2,
,8,國立中央大學,N,,1234,資訊工程學系博士班,12,7,5,4,1,,,3,4
,8,國立中央大學,N,,1238,通訊工程學系博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,1242,網路學習科技研究所博士班,3,2,1,1,1,,,1,
,8,國立中央大學,N,,9642,大氣科學學系大氣物理博士班,3,1,2,1,1,,,,1
,8,國立中央大學,N,,9644,地球科學學系地球物理博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,1251,應用地質研究所博士班,3,3,0,1,,,,2,
,8,國立中央大學,N,,15464,太空科學與工程學系博士班,4,3,1,3,1,,,,
,8,國立中央大學,N,,5483,地球系統科學國際研究生博士學位學程,6,5,1,1,,,,4,1
,8,國立中央大學,N,,9465,客家語文暨社會科學學系客家研究博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,1178,生命科學系博士班,2,1,1,,,,,1,1
,8,國立中央大學,N,,8497,認知神經科學研究所博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,10241,生醫科學與工程學系跨領域轉譯醫學博士班,6,6,0,6,,,,,
,8,國立中央大學,N,,10240,生醫科學與工程學系系統生物與生物資訊博士班,5,3,2,3,2,,,,
,8,國立中央大學,N,,14767,跨領域神經科學國際研究生博士學位學程,2,1,1,,,,,1,1
,8,國立中央大學,N,,SUBT5,產業碩士專班           共計,3,2,1,2,1,,,,
,8,國立中央大學,N,,7072,光電科學與工程學系光電產業碩士專班,3,2,1,2,1,,,,
