105學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,企業管理,財務金融,會計,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,綠色企業管理,創意與創業,統計,氣候變遷調適,商業智慧與分析,認知神經科學,巨量資料分析,社會企業,跨領域社會參與,系(所)總合
中國文學系,,,1,1,,,,,,,,,,3,,,,,,,,,,,,,5
英美語文學系,2,2,1,,,,,1,,,,,,,,,,,,,,,,,,,6
法國語文學系,1,1,,,,,,4,,,,,,,,,,,,,,,,,,,6
數學系,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
數學系碩士班,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
企業管理學系,,1,13,9,,,,,,,,,1,10,,,,,1,,,2,,,,,37
資訊管理學系,,,1,7,,,,,,,,,,3,,,,,7,,,3,,,,,21
財務金融學系,,,22,,,,,,,,,,,,,,,,,,,2,,,,,24
經濟學系,,3,3,6,,,,2,,,,,1,2,,,,,,,,2,,,,,19
企業管理學系碩士班,,,,,,,,,,,,3,,,,,,,,,,,,,,,3
工業管理研究所碩士班,,,,8,,,,,,,,,,,,,,,,,,,,,,,8
會計研究所碩士班,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
電機工程學系,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
資訊工程學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
通訊工程學系,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
大氣科學學系,,,,,,16,18,,,,,,,,,,,,,,8,,,,,,42
地球科學學系,,,,,,8,3,,,,,,,,,,,,,,1,,,,,,12
總合,3,7,41,32,,24,21,7,,,1,3,2,18,,,,,13,1,9,9,,,,,191
