1081「第二專長(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
              第二專長      所屬系所,中文,人文應用與文創實務,英美文學與文化研究,法語文化與跨文化,藝術史實務,數學(數學科學組),數學(計算與資料科學組),物理,化學,光學,材料與製造工程,能源科技,機械設計,光機電工程,化學工程與材料工程,土木工程,國際金融,國際經貿,智慧電子,初階積體電路設計,資訊工程程式設計,人工智慧,通訊工程,社會實踐與發展,公共行政與政策,法律,生物科技,生物多樣性,哲學思考,認知神經科學,應用地球科學,循環經濟,系(所)總合
中國文學系,,2,1,,16,,,,,,,,,,,,1,,,,2,,,,4,11,,,,,,,37
英美語文學系,,,,,1,,,,,,,,,,,,5,,,,,,,,,10,,,,1,,,17
法國語文學系,,1,,,13,,,,,,,,,,,,1,,,,,,,,,2,,,,,,2,19
數學系,,,,,,,,,,,,,1,,,,5,,1,,11,,,,,,,,,,,,18
物理學系,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
化學學系,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
土木工程學系,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3
機械工程學系,,,,,,,,,,,,,,,,,,,1,1,4,1,,,,1,,,,,,,8
企業管理學系,,1,,,1,,,,,,,,,,,,2,,,,,3,,,,2,,,,,,,9
資訊管理學系,,,,,,,,,,,,,,,,,3,,,,28,6,,,,1,,,,,,,38
財務金融學系,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,4
經濟學系,1,,,,1,,,,,,,,,,,,,,,,5,,,,,14,,,,,,,21
電機工程學系,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,1,,,13
資訊工程學系,1,1,,,1,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,6
通訊工程學系,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,3
大氣科學學系,,,,,,1,,3,,,,,,,,,,,,,2,,1,,,1,,,,,,,8
地球科學學系,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2
客家語文暨社會科學學系,,1,,,1,,,,,,,,,,,,1,,,,,,,,3,14,,,1,,,,21
生命科學系,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,2
生醫科學與工程學系,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,3
總合,2,6,1,,34,2,,3,,1,,,1,,5,,19,,2,1,69,12,3,,7,62,,,1,2,,2,235
