101學年度第二學期「學分學程」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,企業管理,財務金融,會計,資訊管理,水土保持,企業資源規劃,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,天文,財務工程,英文MBA,創意,電子商務(EC),嵌入式系統,華語文教學,世界文明史,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,統計學,系(所)總合
中國文學系,,,,,,,,,,1,,,,,,,,1,,,,,,,,2
英美語文學系,,,,,,2,,,,,,,,,,2,,1,,,,,,1,,6
法國語文學系,2,,,,,,,,,4,,,,,,,,,,,,,,,,6
法國語文學系碩士班,,,,,,,,,,,,,,,,,,1,,,,,,,,1
物理學系,,,,,,,,,,,,1,,,,,,,,,,,,,,1
土木工程學系,,1,,,,,,,,1,,,,,,,,,,,,,,,,2
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,2,,2
企業管理學系,,,4,,,18,,,,,,,,,2,4,,2,,,,,,1,,31
資訊管理學系,,2,,,,23,,,,,,,,,1,18,,,,,,,,19,,63
財務金融學系,,,12,,,11,,,,,,,,,,,,,,,,,,,,23
經濟學系,,,2,,,,,,,,,,,,,,,,,,,,1,1,,4
企業管理學系碩士班,,,,,,6,,,,,,,,2,,,,,,,,,,,,8
財務金融學系碩士班,,,,,,,,,,,,,2,,,,,,,,,,,,,2
工業管理研究所碩士在職專班,,,,,,28,,,,,,,,,,,,,,,,,,,,28
電機工程學系,1,,,,,,,,,,,,,,1,,,,,,,,,,,2
資訊工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,1
通訊工程學系,,,,,,,,,,,,,,,,,1,,,,,,,2,,3
大氣科學學系,,1,,,,,,6,14,,,,,,,,,,,,,,,1,,22
地球科學學系,,,,,,,,5,1,,,,,,,,,,,,,,,,,6
總合,3,4,18,,,88,,11,15,6,,1,2,2,4,24,1,5,,,,,1,28,,213
