日期,標題,連結
2025-09-12-事務組,本校後門交通標線繪製工程公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/5500d06f-6c28-4217-b55a-7f982d0e88fe
2025-09-11-事務組,中大舊圖旁的老榕樹（國泰樹）褐根病防治影片,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/14d33d80-78ac-486f-9c1b-61f88f987dbd
2025-09-11-資產組,中央大學線上繳停車費QRcode,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/8c04e7c9-8387-410d-b590-b39e7e4baecb
2025-09-05-事務組,【中大短程接駁車】預約114年9月12、19、26日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/176db0e3-ed3b-489f-8a92-b7fe27980062
2025-09-04-文書組,本校公文系統已支援行動自然人憑證，歡迎同仁多加利用!,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/18f308f6-4ebd-481d-970e-09a3659acbb0
2025-08-29-事務組,【中大短程接駁車】預約114年9月5日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/5b8ee339-7e4a-4595-bee7-b72b70878b50
2025-08-26-事務組,（延長申請）【中大短程接駁車】_預約114年8月29日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/efa8063f-e7e0-4e81-bf6a-9426f866b0d6
2025-08-25-事務組,檔案下載-一般垃圾及資源回收物巡迴收集路線及時間表。（此為PDF檔案，請參閱檔案摘要或說明頁）,https://www.oga.ncu.edu.tw/resource/attachment/2134786551.pdf
2025-08-18-事務組,減少使用免洗餐具及包裝飲用水,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/da00a550-570e-4eaf-bc47-b0b68379a6b4
2025-08-14-事務組,【中大短程接駁車】_預約114年8月29日乘車公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9878c3bf-a56a-4dae-badc-94d5850b5bf9
2025-08-07-事務組,【公告】114/8/8松樹松毛蟲加強防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/c64c7177-3f02-43af-8c71-54fab6391412
2025-08-01-營繕組,【施工公告】114年8月4日至114年8月11日 管二館側邊通往科五健雄館水泥路面破損整修 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/83a05168-4635-48f6-892e-ba2bf3bfdb7f
2025-07-28-事務組,【公告】114/07/29松樹松毛蟲加強防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/23332a0a-4e4e-4491-a10e-ee38654d672a
2025-07-23-事務組,【施工公告】114年7月24日起松樹松材線蟲防治作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9cd848f2-e777-48e8-bf49-2453785168da
2025-07-17-事務組,【除草公告】114年7月21日至23日（遇雨順延，不再另行公告）進行汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/1b5af662-ba30-4458-a83c-690cfd3d0433
2025-07-15-事務組,【新增公車路線】【133A】中壢－中央大學（經A22捷運老街溪站）公車路線試辦,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/c47b1baf-f2b8-4870-b058-ea5e8d24a0b2
2025-07-15-營繕組,【施工公告】114年7月15日至114年11月15日 X波段天線接收系統天線塔及基座統包工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/133a7e1e-8c9e-4934-adb2-ac92e526f0d3
2025-07-11-事務組,國立中央大學校園廢棄物管理辦法,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/8a82b4bb-5e0a-4bc5-afc4-d7df872e7685
2025-07-10-營繕組,【施工公告】114年7月15日至114年10月20日(預定工期) 中大北村路口及校內路面改善工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9554973c-cf51-4248-a6e8-8bd6b47635be
2025-07-09-營繕組,"【施工停電及管線開挖公告】1141018,1025,1026施工停電及1140710-0810管線開挖 施工公告",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/58ddd448-8f91-4386-a886-085d3ddf3e2c
2025-07-09-營繕組,"114年07月26,27日,8月2日清洗校區總水塔停水公告(再次提醒)",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/57c2b1af-c071-4128-9605-5818332d4119
2025-07-09-營繕組,114年高壓檢驗維護停電公告(再次提醒),https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/954bf744-81cd-485d-a5a2-fc90da83ac7b
2025-07-08-事務組,【重要封閉通知】本校為進行「中大北村路口及校內路面改善工程」，自114年7月15日(星期二)起北村出入口將封閉無法進出,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/b757a4f6-7eaa-4e4c-b348-23ca4d9a7557
2025-07-01-營繕組,【施工公告】114年7月3日至114年7月31日 男七舍下方階梯新建工程 施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/f9e4be06-4233-4684-8b7a-ae2b2636df7f
2025-06-27-營繕組,【施工公告】114年7月1日至114年8月8日(預估期程) 科二館耐震補強變更設計工程  施工公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/53883bb5-f56e-4fa2-b219-00ec2c5e1b37
2025-06-24-事務組,《公告》114年暑假期間學生宿舍收集垃圾行程表,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/6d2bd9c7-b1b9-4d81-951e-a0c093372ada
2025-06-20-事務組,【活動通知】114年6月26日樹木褐根病防治及實地環境教育研習,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/caeecac1-fa52-48c7-8336-95ea78efabc5
2025-06-20-事務組,《施工公告》國泰大榕樹褐根病防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/726e12ca-01b8-4351-88f1-87e51b21806a
2025-06-18-事務組,【台聯大校際專車提醒】113學年度台聯大校際專車行駛至114年6月20日(五)止,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/b78e76d0-b6a5-42ce-a251-d89463dbee90
2025-06-10-事務組,【中研院學術專車】113學年度中研院學術專車(中央清大線)行駛至114年6月20日(五)止,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/b8d02401-1683-43ee-a043-d0001f1f08b9
2025-06-10-事務組,"【公車及客運9025A改道】114年6月14日(星期六)「沈慶芳先生名譽博士頒授典禮等大型活動」公車改道公告Bus routes diversion on 14, JUN, 2025",https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/2d5c8b4e-5326-4f88-98de-752d8a6c2e07
