日期,標題,連結
2024-09-01-事務組,《一般廢棄物及資源回收物巡迴收集時間表、路線示意圖》,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9812eb86-80e1-4d44-bc3c-f2e897896e4a
2024-09-01-事務組,《落實源頭垃圾減量、資源回收，共同守護地球》,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/7661d03e-f7c3-4342-8901-1bfa86119b48
2024-09-01-事務組,【落實資源回收】智慧型回收機（碳竹雞），請大家多多利用,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/3fbefb8a-5bad-46e2-8c27-fe32f02495bf
2024-09-01-事務組,《樹木位置示意圖》,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/aba6cba2-e32b-441e-9982-e75c3301b0fc
2024-09-01-事務組,<113年9月12日全校公共區域環境消毒>,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a0d8916d-196d-48e8-bec8-55f9b5382979
2024-08-28-事務組,國立中央大學教職員工汽車過夜停放區域增加【鴻經館】後方與【iHouse】等區域部分車格之試行,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/328405e3-ff72-46dd-9d0e-e0fd4c71f9a2
2024-08-13-事務組,【中大植物競寫活動延長收件至113/9/30】,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/02556b7e-cdca-409e-a6ed-568d7ec150a5
2024-07-28-事務組,【施工公告】113年7月29日起進行松樹松材線蟲防治作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/8d2490de-07ee-499f-87b9-afb87a85f9fc
2024-07-15-營繕組,【總務處公告】近來中大同仁接到自稱是某銀行子公司提供『 教職員優惠利率詐騙電話』騷擾，請同仁接獲此類詐騙電話請直接掛斷或明確告知請勿騷擾，勿聽從洗腦誘騙。若同仁再接獲此類詐騙電話，請通報總務處營繕組，本組會過濾篩選判定出此電話號碼給與封鎖，避免同仁再受類似事件困擾。,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/3142aa51-a739-4316-9c27-245602a300a9
2024-07-08-事務組,【公告】113/07/09葉震病防治及植栽病蟲害防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/01a666f8-2953-48cd-8f22-e723b95a7453
2024-06-26-事務組,《113年暑期》夜間學生宿舍暨教職員宿舍收集垃圾時間表,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/49557c92-6842-4228-b4b1-3a6717647ffd
2024-06-20-事務組,【公車公告】中壢客運133路線自113年6月24日起行駛寒暑假班次,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a04b61b8-3eb8-4060-8655-78883e3e66f0
2024-06-19-事務組,【除草公告】113年6月20日工五館汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/af0ad123-cdf4-4540-8468-6644b7637f61
2024-06-17-事務組,【除草公告】113年6月18日至19日進行汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/71e28d68-5e4f-4e1a-83a6-5ffe33d248dc
2024-06-11-事務組,【烏龜水池】年度換水、清洗、曝曬作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/dd3dff69-9ae2-462a-bfab-e6779075a274
2024-06-06-事務組,【公告】113年暑期學生宿舍搬遷增開廢棄物巡迴收集班次,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/2ad477ab-5c39-4c92-86f3-256263fd6a66
2024-05-15-事務組,【公告】113/5/16松樹葉震病防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/885310b6-9696-48a6-b777-b1f0f9f4c809
2024-05-14-事務組,【公告】113年度各館舍建築中庭暨周邊環境美化競賽評比結果,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/72fd4fe5-042c-4049-a86c-a2b0c6ad59b7
2024-05-03-事務組,【落實資源回收】113年5月8日智慧型回收機設置,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/d6847619-deb5-4e29-814e-fdb1e4104bd2
2024-05-03-事務組,【公告】113/05/03植栽病蟲害防治,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/00d9d115-92b1-4950-a833-37707121c0d8
2024-05-02-事務組,【除草公告】113年5月6日至8日汽車停車場除草作業,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/211d4e6c-3ed8-47f1-b9ce-49784b807ff0
2024-04-26-事務組,【公告】113/5/7環境消毒,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/3a03b92b-ad00-4621-9259-d287be2b6ee4
2024-04-09-事務組,【中研院專車公告】搭乘中研院學術專車，請 將自身垃圾帶下車，一起維護乾淨的乘車品質,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/ad2f3197-fc05-462a-ac94-34b26a6dfcec
2024-03-29-事務組,【法規修正】113年3月6日校園交通管理委員會暨同年3月22日總務會議修正通過法規內容,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/199fb7e1-ceab-4386-b0a5-081cce41e48a
2024-03-25-事務組,113年本校對外交通運輸旅次特性調查問卷2024 National Central University survey on travel demand by public transport,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a280a631-809a-4b0b-8d9d-90155c883bf1
2024-02-21-事務組,【賞花情報】2024/02/21中大湖櫻花及校園花況,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/c48db67a-e809-4c29-a917-07a0cc10df80
2024-01-29-事務組,【中籤名單】國立中央大學前門觀景臺機車棚抽籤作業-中籤名單,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/af2b19eb-2dd8-4785-a595-e671ec691ac1
2024-01-29-事務組,【直播網址】國立中央大學前門觀景臺機車棚抽籤作業-直播網址,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/18ad0cac-5e11-49d1-b71d-b9f94db184a9
2023-11-22-採購組,慎防詐騙~~近有不肖人士假冒本校名義採購商品，敬請校外廠商與校內同仁切勿受騙上當!!,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/4444b8ca-02a4-497b-8c4c-9313be0e4e89
2023-11-01-事務組,112/11/15~11/16 校園淘寶趣二手市集，邀你一起來挖寶!!,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/025bfd29-2808-474b-acac-796db5e03707
2023-10-26-事務組,112 學年度第1學期交通管理委員會會議紀錄,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a33db5f4-ebe2-4cff-bd29-fc6d78fa2444
2023-10-11-營繕組,【公告】快速便利專線服務，請校內同仁多加利用。(如下說明),https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/77960e86-dd29-44c6-8051-c240fc1ebb06
2023-08-24-事務組,【公告】自行車領證地點及時間,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a3871145-e3c0-46d7-9ed4-e09d5d00f0f2
2023-05-24-總務處,「112年國立中央大學校園交通安全」微電影徵件競賽-評選結果公告,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/5ea07d41-1eb3-4876-9e98-8ab9c8729b45
2023-05-16-事務組,111學年度第2學期交通管理委員會會議紀錄,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/efc9a475-1534-4f1c-a5b1-459903554e12
2023-04-10-事務組,【宣導海報】112年資源回收暨環境衛生宣導海報相關資料,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/03d0047d-9492-4775-b7ec-573556976cb9
2023-03-28-資產組,112年4月餐廳商店營業時間,https://ncu.edu.tw/oga-affair/ncustore
2023-02-24-駐警隊,有關原訂112年3月1日(三)起進行外送機車管制乙案，暫緩實施並另案公告辦理。,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/17cc35ef-2c4f-4b69-9c81-75e5b4b22996
2022-12-28-採購組,修正訂定查核金額、公告金額及中央機關小額採購金額如下，並自中華民國一百十二年一月一日生效,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/fd992b6d-7f69-4b90-aa6f-320f438beb56
2022-11-21-總務處,111學年度大一親師座談會家長提問Q&A,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/2957fb81-2417-4456-b0b3-0c166e8f5245
2022-11-01-總務處,「校園交通環境優化之預計做法」公聽會-簡報檔案及問答紀錄,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/65142e41-154d-42eb-8881-d5af5562a8be
2022-08-24-出納組,學生宿舍網路啟動碼採線上購買請多加利用,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/9dfb2624-6e6c-4029-a934-6232f297d916
2022-08-03-事務組,共享滑板車騎乘注意事項,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/2c75a715-a83f-4cb3-9f83-cd8ce3635fe9
2022-04-27-事務組,【中大會館公告】為配合學校防疫政策，中大會館於即日起暫停住宿申請,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/b8c4e1db-1b50-4ee2-945f-e80d2f932781
2022-04-26-採購組,教育部「111年綠色採購教育訓練研習會」線上課程資訊,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/078d415d-ffad-4db1-a1c8-fb2a082c9f37
2022-04-25-資產組,總務處原訂於111年4月26日上午10時於游藝館國際會議廳，舉辦「本校教職員工職務宿舍管理費擬提高案」公聽會，因疫情影響，原時段改以線上進行。,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/a8c53815-c67d-4cdc-af9d-c5042d433152
2022-01-17-總務處,近期有不肖人士假冒本校總務處人員名義，向業者訂購壓克力等廣告物品，並以不實言論蒙騙廠商先行匯款，如有接到類似電話，請勿受騙上當。,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/13b4039f-db43-47d4-8aa9-3c14d0fe7f96
2022-01-04-總務處,近來校內發現白蟻入侵，請加強館舍巡查，如有發現白蟻蹤跡，請儘速加強防治。,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/bf529aba-5c86-4ff8-aa51-9151fdedf144
2022-01-03-文書組,自111年3月1日起，宅配本校地址的包裹，將請貨運公司直接送達同學。,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/d9ff8377-54c6-4c26-9ecd-f15e5979df87
2021-12-30-文書組,有關電子公文系統使用時彈出『使用者資訊遺失』視窗之相關設定,https://www.oga.ncu.edu.tw/news/5f57f0b6/detail/0332287b-d635-4b15-a663-24d7223adeb6
